"","iso3c","undisc_exwelf_low","undisc_exwelf_med","undisc_exwelf_high"
"95","LSO",1.72874638018769,2.03227782565945,1.72874638018769
"96","LTU",14.7621298800697,16.223888076635,14.7621298800697
"97","LUX",13.2547591014995,15.4948828378641,13.2547591014995
"98","LVA",12.1292414493634,14.1100413846233,12.1292414493634
"99","MAR",4.43901964506698,5.06065557556785,4.43901964506698
"100","MDA",9.2239906985964,10.455869751839,9.2239906985964
"101","MDG",5.44555368208266,6.66751862330762,5.44555368208266
"102","MDV",8.71384854826551,9.57612197796648,8.71384854826551
"103","MEX",5.8887848550553,6.92294867519334,5.8887848550553
"104","MKD",8.92817472474764,10.5812703083179,8.92817472474764
"105","MLI",6.49392659021902,8.58344637969772,6.49392659021902
"106","MLT",14.1925804314604,16.0650450290865,14.1925804314604
"107","MMR",3.72340082630125,4.51436180997567,3.72340082630125
"108","MNE",8.72487102606015,10.2571978904674,8.72487102606015
"109","MNG",4.70611155353718,5.06609803157948,4.70611155353718
"110","MOZ",1.91550969015002,2.4408549150605,1.91550969015002
"111","MRT",5.03534217803635,6.54844317506286,5.03534217803635
"112","MUS",7.11353949484873,8.02185606064604,7.11353949484873
"113","MWI",9.58617301249134,10.4575744123612,9.58617301249134
"114","MYS",8.16501598274156,9.22635204746812,8.16501598274156
"115","NAM",4.06222796615067,5.33953632371004,4.06222796615067
"116","NER",8.95668567414315,11.2180948093727,8.95668567414315
"117","NGA",15.8209101578963,17.2192550359967,15.8209101578963
"118","NIC",1.08764663918553,1.32435919660998,1.08764663918553
"119","NLD",12.237915906148,13.5999453685093,12.237915906148
"120","NOR",14.1136405196951,15.577816151818,14.1136405196951
"121","NPL",4.16153893002177,4.70342910980538,4.16153893002177
"122","NZL",12.7440561286664,17.7055045477812,12.7440561286664
"123","OMN",2.18758434425664,3.24799438973054,2.18758434425664
"124","PAK",3.81753837309411,4.50283328327731,3.81753837309411
"125","PAN",6.65784284682228,8.29219905139656,6.65784284682228
"126","PER",2.75448852196334,3.84948311084478,2.75448852196334
"127","PHL",5.13189311617143,6.10607760380527,5.13189311617143
"128","PNG",4.42051349917613,5.56460044765273,4.42051349917613
"129","POL",10.7100890349277,11.7569820227941,10.7100890349277
"130","PRT",19.0543158849782,20.5127043070287,19.0543158849782
"131","PRY",1.74929290134058,2.14184009665966,1.74929290134058
"132","QAT",6.19047808873381,8.44747712257942,6.19047808873381
"133","ROU",9.38218693299254,11.0630073408785,9.38218693299254
"134","RUS",11.8347074049224,12.6835236136242,11.8347074049224
"135","RWA",2.84628509849266,3.31111030091975,2.84628509849266
"136","SAU",7.65692465757158,8.64309553393053,7.65692465757158
"137","SDN",4.02598947250795,5.39921861973303,4.02598947250795
"138","SEN",7.43025269646793,8.44825781537143,7.43025269646793
"139","SGP",28.9685727979812,34.8772903556056,28.9685727979812
"140","SLB",NA,NA,NA
"141","SLE",3.7216459253615,5.08428490935492,3.7216459253615
"142","SLV",4.06633069810054,4.71114775424988,4.06633069810054
"143","SOM",2.4887118010663,2.88429931033282,2.4887118010663
"144","SRB",9.64510630251923,11.3971050481514,9.64510630251923
"145","SSD",NA,NA,NA
"146","STP",6.957931231662,8.24101517422152,6.957931231662
"147","SUR",9.01599205608151,10.2438565356893,9.01599205608151
"148","SVK",11.1265430681802,13.099876803226,11.1265430681802
"149","SVN",12.8313557720722,14.3080879762756,12.8313557720722
"150","SWE",8.29366600564153,9.30939423044105,8.29366600564153
"151","SWZ",2.43537411983708,2.88117102010019,2.43537411983708
"152","SYC",7.01694319107522,8.99508684482705,7.01694319107522
"153","SYR",2.7895577156139,3.48906993812223,2.7895577156139
"154","TCD",6.19545051013825,8.49100581016522,6.19545051013825
"155","TGO",5.6964679698874,6.1769816501511,5.6964679698874
"156","THA",9.98630372366861,12.2089091928298,9.98630372366861
"157","TJK",3.08381075497779,4.24417097161621,3.08381075497779
"158","TKM",NA,NA,NA
"159","TLS",5.078659589535,5.53714188887802,5.078659589535
"160","TTO",10.3296046181356,12.1338309791008,10.3296046181356
"161","TUN",4.66085718290888,5.36866421938532,4.66085718290888
"162","TUR",8.07670601352413,9.3568755495139,8.07670601352413
"163","TZA",5.51952025606055,7.2328118238217,5.51952025606055
"164","UGA",11.694977229997,13.2445465325972,11.694977229997
"165","UKR",5.48149635456901,6.47066396224674,5.48149635456901
"166","URY",16.4075732165306,21.903441740994,16.4075732165306
"167","USA",12.5639796762466,13.7792648392876,12.5639796762466
"168","UZB",4.10351885060951,5.48647670735393,4.10351885060951
"169","VCT",5.29010983616147,7.13713720842134,5.29010983616147
"170","VNM",6.55389164920751,7.86595769393655,6.55389164920751
"171","VUT",0.010073229139907,0.103412977945061,0.010073229139907
"172","YEM",17.4126724086945,20.1153658804743,17.4126724086945
"173","ZAF",5.98482518507284,7.53937851677711,5.98482518507284
"174","ZMB",5.17264654149063,5.99136931030359,5.17264654149063
"175","ZWE",3.49776623152228,4.04253835761262,3.49776623152228
