"","iso3c","vsl_pp_gdppc_low","vsl_pp_gdppc_med","vsl_pp_gdppc_high"
"127","PAN",60.516785945199,75.3521862602516,91.775292053781
"128","PER",26.8024357303386,36.7438660398,48.4236694673554
"129","PHL",102.783872788544,120.36653514387,142.345414392739
"130","PNG",66.4966774784098,84.3548902096209,104.004350727
"131","POL",111.137769005582,123.456736468391,132.821268281503
"132","PRK",NA,NA,NA
"133","PRT",196.811335471963,211.057156834237,278.557292724377
"134","PRY",24.7495786415978,31.3218377439044,34.6284200514257
"135","QAT",41.621980754017,55.1925696455634,68.6296408720862
"136","ROU",147.749374541438,175.640252045834,197.017263787367
"137","RUS",172.421949067242,186.686470696019,199.561669736212
"138","RWA",48.3286401743296,54.7391173762619,62.0475280120575
"139","SAU",64.8819821234505,72.3805957418586,81.2049622317891
"140","SDN",98.6354544843612,134.036635762888,173.931110959976
"141","SEN",110.901235887107,127.482405298706,142.978858796559
"142","SGP",220.21327778729,259.319588739524,269.902624517687
"143","SLB",NA,NA,NA
"144","SLE",106.802098746466,154.150785371047,186.478052086763
"145","SLV",64.2601640889068,75.5647668269283,80.2671742783367
"146","SOM",60.9358358230658,69.273103813409,78.1093431198955
"147","SRB",175.545950867071,205.388182218586,241.997938359628
"148","SSD",NA,NA,NA
"149","STP",87.7725756775636,107.368941600146,143.552301695442
"150","SUR",103.902058358281,120.535695751483,127.584997838887
"151","SVK",117.897975406286,138.668180200464,149.620970781213
"152","SVN",119.278252384718,133.484387936334,150.175984364464
"153","SWE",72.3532179061789,81.8137685190669,94.3667067721623
"154","SWZ",46.6941198629166,55.1958364538915,64.472894055447
"155","SYC",73.7276240908613,94.234945318042,123.558631708945
"156","SYR",76.59512494527,96.9472430031714,122.572010215893
"157","TCD",115.855743601933,161.377750689146,205.176126255466
"158","TGO",84.3353624186591,90.830931335178,97.7566543394526
"159","THA",104.61961306334,127.94833281502,149.516913838384
"160","TJK",40.4331631397673,56.4378096818764,70.3434647250939
"161","TKM",NA,NA,NA
"162","TLS",63.4779114300208,70.6843415473795,74.559853477848
"163","TTO",87.2898772250173,103.689474593434,128.388559748298
"164","TUN",67.8317503433369,78.3588442192688,86.0660491982516
"165","TUR",90.8760462880653,106.373323260882,118.193435906445
"166","TZA",65.0238715848229,86.838910849266,103.922026724177
"167","UGA",200.323121411591,243.450293935966,258.123029260499
"168","UKR",120.978207433759,144.303464975427,165.32716408904
"169","URY",154.728509004194,209.123300915544,260.414877564985
"170","USA",128.49048460577,140.664096737999,153.011948249466
"171","UZB",45.6045484756333,63.0891632816414,77.3383097201087
"172","VCT",69.5620708419119,99.6320961948653,183.82137468526
"173","VEN",NA,NA,NA
"174","VNM",104.608450976739,126.249977600522,152.606901965815
"175","VUT",0.275102353155375,1.34871856915974,51.8608198231017
"176","YEM",NA,NA,NA
"177","ZAF",72.4938791547193,85.7267599771784,99.1832346065557
"178","ZMB",89.6133483023037,107.599022203398,119.465671221477
"179","ZWE",53.4626518506854,61.4390036989842,71.3221265245357
