"","iso3c","monqaly_pp_low","monqaly_pp_med","monqaly_pp_high"
"139","SAU",1860.23981857029,2077.17846177942,2353.3381036453
"140","SDN",15.7106820062728,21.2542620834234,26.895147785199
"141","SEN",77.757782128068,88.9572529554553,99.6447897301499
"142","SGP",21330.6213489993,25847.8661296607,27024.4557853358
"143","SLB",NA,NA,NA
"144","SLE",15.7660317983868,23.4663292767096,28.5232364142391
"145","SLV",146.861675462727,171.594966714742,182.261199769389
"146","SOM",8.66586480843921,9.93094303567912,11.151559418914
"147","SRB",806.212651757771,951.892433534896,1105.56058895341
"148","SSD",0,0,0
"149","STP",114.345752034235,135.571707021968,193.985088873783
"150","SUR",400.706408715832,457.738740997658,485.845054906422
"151","SVK",2164.4200779385,2551.10700734498,2748.9311657646
"152","SVN",3336.0450583693,3711.89992867892,4143.24700222359
"153","SWE",4458.40421144173,5020.60986693697,5745.99623351322
"154","SWZ",67.9525027186713,81.552613685321,95.5109750931356
"155","SYC",862.146866051935,1104.586128488,1456.05076537902
"156","SYR",9.07347529222505,11.6800787577307,14.4962691896209
"157","TCD",18.8389465083075,25.566090639157,31.3985243070876
"158","TGO",25.8943126747433,27.8940454779477,30.6236399187433
"159","THA",612.549888614999,752.995179021752,878.185890614574
"160","TJK",14.8613000932778,21.2166338398153,26.8636822527167
"161","TKM",NA,NA,NA
"162","TLS",105.407712700005,114.555138870868,120.357154698223
"163","TTO",1586.9954078499,1878.39059268238,2268.14574762815
"164","TUN",123.129066759159,142.052571632123,160.450052786333
"165","TUR",681.639589835655,792.256655513361,869.639587852048
"166","TZA",29.5655811865116,40.3560913015986,47.9412674640546
"167","UGA",55.7206818657368,62.6291269552129,68.433754823104
"168","UKR",214.663098140538,253.720765241061,289.336605477676
"169","URY",2693.65658890175,3632.72994810996,4440.1050084005
"170","USA",7830.18140590406,8570.35535900509,9325.17474110111
"171","UZB",45.7397539764784,63.3075357177497,78.7038471941741
"172","VCT",380.346061036012,518.386803854136,937.121618921472
"173","VEN",0,0,0
"174","VNM",186.764917350818,228.594973277057,281.040575068574
"175","VUT",0.187048774905617,1.74196315543234,84.5692933164536
"176","YEM",42.4813531703948,49.0512032499088,54.7251655803851
"177","ZAF",341.212947064475,428.545577059913,520.250101575527
"178","ZMB",39.6029419032899,45.7540755103154,50.6573404964785
"179","ZWE",40.3240328930959,46.3009366698389,52.5130830617996
