"","iso3c","discmonqaly_pp_low","discmonqaly_pp_med","discmonqaly_pp_high"
"121","NLD",4630.59311704594,5162.81760963682,5888.52759833153
"122","NOR",8112.62039765698,8991.88904941436,9688.07406895314
"123","NPL",26.2637627446558,29.7121362028507,38.8880557471345
"124","NZL",3692.88545144693,5281.46394998671,6658.35099501287
"125","OMN",243.153744357577,334.387399505787,638.470351710291
"126","PAK",29.2729641508122,33.686130277905,40.8379537633477
"127","PAN",608.232804934545,758.89099323802,940.117177841447
"128","PER",107.702462386033,150.23585972371,202.194882446714
"129","PHL",105.084433832199,125.267602222,153.400388853471
"130","PNG",58.8068963284336,75.2723254188372,94.38604369539
"131","POL",1261.83030140606,1390.38065020256,1493.06358570798
"132","PRK",NA,NA,NA
"133","PRT",3071.43975234583,3281.50091735907,4376.60766639605
"134","PRY",67.9407728824023,83.5435568046309,92.8822126919756
"135","QAT",2381.1493447002,3240.41790865816,4129.01666831114
"136","ROU",940.295250199052,1109.31193916647,1248.36327766859
"137","RUS",1012.14422075716,1086.31326913663,1165.75809173384
"138","RWA",9.4356870609432,10.8783762409988,12.4451709625221
"139","SAU",1272.99360183261,1423.0046723063,1610.7548936326
"140","SDN",12.8895915127791,17.3984037173195,22.1763951893657
"141","SEN",58.0301891119408,66.3663290311622,73.949624366126
"142","SGP",14527.5538997724,17391.4225611189,18147.6918795597
"143","SLB",NA,NA,NA
"144","SLE",11.8588479012131,17.3840945677807,21.0834269702544
"145","SLV",104.593782419975,122.391202493889,129.968399993899
"146","SOM",6.71513222508173,7.69145078950022,8.67366894394501
"147","SRB",622.571573836871,734.82843259458,855.113279748174
"148","SSD",0,0,0
"149","STP",79.9782180589793,95.0812469098972,132.366339815853
"150","SUR",296.437019270384,339.361481613948,359.966483454386
"151","SVK",1614.83876726531,1904.55006710331,2052.90202348877
"152","SVN",2379.06766282893,2652.16383652415,2968.2310868192
"153","SWE",3112.49154926249,3508.61369676354,4024.95019206665
"154","SWZ",53.5161764094278,64.2892853185875,75.0512390590755
"155","SYC",622.414863147916,796.136351478664,1048.30704252806
"156","SYR",6.76818852023018,8.65586830156535,10.82519684377
"157","TCD",14.3688217905794,19.7002419516755,24.1505527207994
"158","TGO",19.1137810293082,20.6214486800767,22.5479993741528
"159","THA",433.310445696882,532.687541139073,620.678669413286
"160","TJK",10.5903801682354,15.0595606545636,19.0704622775274
"161","TKM",NA,NA,NA
"162","TLS",74.9519190789733,81.800810602086,85.9340426478943
"163","TTO",1129.12416796296,1336.39953210325,1623.31052985329
"164","TUN",90.0135254830898,103.990777251552,116.868535066084
"165","TUR",479.098163628877,557.559774100173,614.386160651429
"166","TZA",22.1814268868604,30.0222129510497,35.9351333467646
"167","UGA",40.3685182280958,45.8310311890127,49.7512646392217
"168","UKR",164.909691871062,195.342777952512,222.787544633316
"169","URY",1885.04500441276,2541.59567389301,3120.72241901677
"170","USA",5696.34899445953,6230.79388723179,6786.033799965
"171","UZB",32.431879455281,44.8436700806484,55.5402906050226
"172","VCT",277.142382659474,381.063113624365,686.572755949905
"173","VEN",0,0,0
"174","VNM",133.662849380654,162.110690323399,197.636823656446
"175","VUT",0.157857982920391,1.45955456521091,64.9343987465891
"176","YEM",31.5175479435458,36.6498416000295,41.1726513734288
"177","ZAF",263.691825959724,324.497959504794,388.116027778944
"178","ZMB",29.7993911113105,34.7046286426729,38.4506675191493
"179","ZWE",30.2533674197898,34.6772906376163,39.1702480299944
