"","iso3c","discvsly_pp_low","discvsly_pp_med","discvsly_pp_high"
"33","CMR",1032.81684932968,1246.80948158025,1440.43169976017
"34","COD",282.06048698054,323.351141004284,371.10621856175
"35","COG",2684.77457180368,3030.85828714708,3399.94540022925
"36","COL",1886.78627829044,2264.35653542917,2802.5283052665
"37","COM",515.325182446383,603.220268142917,678.389253357084
"38","CPV",1239.49980212047,1422.11953676875,1545.17665707022
"39","CRI",6260.03009444267,7251.95194993568,7994.99521884998
"40","CUB",0,0,0
"41","CYP",15278.3347183788,19650.5152782389,23892.3064203766
"42","CZE",16937.9141654091,20380.9046369198,23188.1755314004
"43","DEU",54442.7667789863,58671.436282572,64049.3683252501
"44","DJI",1722.70930688674,2086.20148625831,2366.28999372302
"45","DNK",50296.7903749532,55108.8002057498,60984.3236446655
"46","DOM",1641.58455929137,2060.63734507569,2580.27669364673
"47","DZA",732.489575075868,936.171757066347,1234.66333874301
"48","ECU",1483.14998046115,1805.98924230287,2305.89053234023
"49","EGY",1512.14053625263,1767.71132897682,1999.76032366734
"50","ERI",NA,NA,NA
"51","ESP",29891.4085579803,33229.6446676763,38342.8985897512
"52","EST",23878.6349243411,27270.9641594209,29975.6893300925
"53","ETH",1160.26834515533,1412.03252114166,1584.14960286594
"54","FIN",45219.3918082492,48596.2854646239,52597.1625585136
"55","FJI",2172.59205547491,2512.32306239628,2947.10101536834
"56","FRA",43711.3726049232,52304.0502592616,68655.8090462952
"57","FSM",NA,NA,NA
"58","GAB",3066.97819241607,3613.95356176362,4040.58858644352
"59","GBR",33063.436335011,44656.6938581903,70166.6045639047
"60","GEO",4349.73142101308,4687.39473858342,5416.05207449761
"61","GHA",1435.69299776692,1599.57422274404,1775.1912639359
"62","GIN",497.256682124205,573.39805261606,666.550182823965
"63","GMB",260.618090948979,291.107190724497,323.065090644984
"64","GNB",1659.14809973602,1970.21296278354,2332.82613753568
"65","GNQ",1334.70624354226,2695.21385385442,3309.87060769259
"66","GRC",22303.2637453175,24281.1148502469,26001.1205646956
"67","GRD",612.707125208194,836.319948464511,3793.99671469439
"68","GTM",2765.56696185973,3156.60261991843,3750.50015743987
"69","GUY",6157.79620427612,6953.32129852665,7454.73235400269
"70","HND",612.284351805279,792.9629102557,881.785151124052
"71","HRV",16945.614484447,19760.3665276464,21699.1236113844
"72","HTI",229.193154298096,280.225826183383,338.043207159994
"73","HUN",10986.8628276304,13179.4686822713,17629.7499698427
"74","IDN",1827.07117354007,2191.33183256853,2522.1515542915
"75","IND",1260.37227734275,1426.67012690369,1491.68834344818
"76","IRL",60582.5529692893,64465.9566354429,67081.4482078433
"77","IRN",1002.8995859684,1144.09915457825,1383.52920205379
"78","IRQ",844.630276026797,1073.78392997344,1330.06920881145
"79","ISL",52579.0320280158,82946.2013217536,104919.067996794
"80","ISR",26721.8544175667,29667.3891711803,32794.6148440205
"81","ITA",33527.7006453036,36783.3991585577,40249.9541224092
"82","JAM",1519.13143209383,1873.20119132009,2190.65612854208
"83","JOR",1979.22566484671,2206.23643304544,2373.4243591425
"84","JPN",11066.7305523655,13928.1658532797,16995.2840698352
"85","KAZ",4397.02800008852,4862.24269208926,5414.83203203469
"86","KEN",1025.00345400775,1178.13690908199,1291.14400839076
"87","KGZ",277.02802655461,386.418762557189,530.750073603754
"88","KHM",541.140590478583,571.361980743363,604.952584388984
"89","KOR",29958.2898755702,34426.8281426314,39281.3356679323
"90","KWT",9784.17954983244,11011.7619459006,12542.5602075562
"91","LAO",1184.5583649696,1253.11815923119,1330.36954864407
"92","LBN",2805.33836813196,3306.72678832803,3767.0143485573
"93","LBR",104.389017557384,118.216342000579,134.679730294269
"94","LBY",6129.69317897287,7098.50542069845,8140.63160789451
"95","LCA",6564.76237206876,7311.8206560275,8365.06749358825
