"","iso3c","vsly_undisc_pgdp_low","vsly_undisc_pgdp_med","vsly_undisc_pgdp_high"
"90","KWT",16.4063305200187,18.4475572982058,21.0528731267154
"91","LAO",14.7551220058813,15.6100824750679,16.5738108672242
"92","LBN",14.0378972763025,16.5970663265286,19.0091119935372
"93","LBR",1.14966918904054,1.30115381139768,1.48024024587751
"94","LBY",7.71467663746607,8.9620008901278,10.276919441125
"95","LCA",10.8862503405347,12.1209125262702,13.856877383158
"96","LKA",25.0959205364478,26.7308426832932,29.6511171694382
"97","LSO",3.45261733568155,4.04159402149553,4.63989664875252
"98","LTU",43.2799273747078,47.5482874928223,49.2853702558984
"99","LUX",22.8552582808653,26.9766524784955,36.8017804993356
"100","LVA",38.4375122694239,44.9029382979798,47.9032715789708
"101","MAR",17.2107083478097,20.0682495451996,23.3591749499313
"102","MDA",18.1474771136444,20.6890232689314,22.255081569013
"103","MDG",0.506148336174902,0.647558629632554,0.746304717714902
"104","MDV",21.2610590779184,23.539195510751,28.0469806099285
"105","MEX",12.3798397531923,14.6878192392443,16.4976462671971
"106","MKD",19.1404439839884,22.8496983633577,26.5089708291776
"107","MLI",0.459241728998819,0.654035500031826,0.794035335131628
"108","MLT",37.3880730930824,42.4849645745768,50.1650995425769
"109","MMR",5.61035783745568,6.75611609393116,8.06200288349059
"110","MNE",19.079226792013,22.4591961332,27.2132254394718
"111","MNG",16.308234826829,17.4940321602883,18.9641806473151
"112","MOZ",1.40940710915436,1.77809697300786,2.24561018811409
"113","MRT",3.57245684943407,4.6902046207887,5.60632065636533
"114","MUS",28.1919710127577,31.6888792946814,34.9613453383306
"115","MWI",1.83937522004732,1.96937022837436,2.07285652275716
"116","MYS",25.1030137701897,28.7569578689077,34.9558100965063
"117","NAM",1.69168200838162,2.26737118068771,2.68115276839957
"118","NER",1.27170692217811,1.67945621564792,2.57577621123678
"119","NGA",1.56287098444638,1.70267937254653,1.79590075021258
"120","NIC",2.23496325399754,2.69442235878347,3.16046288109795
"121","NLD",34.6101449647471,38.7971503443055,44.302713525353
"122","NOR",35.5710098179308,39.3682291208763,42.3824002100101
"123","NPL",7.00638442860524,7.93281750925888,10.495738119329
"124","NZL",30.3583862631467,43.7496000475163,55.4538202471896
"125","OMN",4.12593569481119,5.56070364853821,10.5936242527823
"126","PAK",4.90012891913985,5.69318836512427,6.9018170326515
"127","PAN",13.9239533085088,17.4686270591179,21.7938285582871
"128","PER",5.79418622913945,8.07933815712076,10.9969059698144
"129","PHL",12.4322544069269,15.1335432947967,19.0531379250011
"130","PNG",0.478600718589494,0.616675870796537,0.775594172296069
"131","POL",24.9789806417051,27.4646658931331,29.5020766326406
"132","PRK",NA,NA,NA
"133","PRT",74.0422203484704,79.1692998244686,106.914692780889
"134","PRY",2.78758507538135,3.42778629141099,3.8097811153816
"135","QAT",17.2078624727366,23.4649911615548,30.5203036358642
"136","ROU",18.2802135852653,21.5458440863407,24.3525413296659
"137","RUS",25.0588230894446,26.8590895354178,28.8376518141354
"138","RWA",5.52760333364356,6.39833328231082,7.36504540718431
"139","SAU",20.4965044936827,22.8265044215514,25.7732794951148
"140","SDN",0.549557731538683,0.744702352354313,0.94474852908814
"141","SEN",1.8544532903576,2.13452206418123,2.39486074064963
"142","SGP",92.8163301168365,112.875194464609,118.092049600946
"143","SLB",0.121541476427905,1.67763180159264,7.59856403958081
"144","SLE",0.927417928998391,1.39169685932983,1.69850002418163
"145","SLV",16.070790993047,18.797705335693,19.9564367621614
"146","SOM",0.712380189089595,0.809897587408257,0.913008196853522
"147","SRB",28.4272674410598,33.5499419582904,38.9721923570582
"148","SSD",NA,NA,NA
"149","STP",7.26154092871421,8.69013636253094,12.5323318689305
"150","SUR",13.8127891016522,15.8330968948238,16.7964683545163
"151","SVK",22.0308377949543,25.9799797626054,28.0044340777224
"152","SVN",30.7608619618524,34.2456404532882,38.2158272164111
"153","SWE",23.1059648424533,26.0756578691431,29.8657113312763
"154","SWZ",3.49589364366131,4.21188157653471,4.93322068373019
"155","SYC",20.782226702688,26.7091214948703,35.257990760447
"156","SYR",0.565717762022353,0.729955330442045,0.907715732018646
"157","TCD",0.132489453441235,0.18023498604517,0.220527249655104
"158","TGO",2.66342465285032,2.87312923091318,3.15100222660667
"159","THA",29.0269849422586,35.8031218577584,41.8310806688706
"160","TJK",4.18121147863345,5.99344217069791,7.55778600926615
"161","TKM",7.04984972337185,10.3427999200049,12.4750077119211
"162","TLS",8.46963278402056,9.25641666509095,9.72868752169716
"163","TTO",17.694130131926,21.0042734440003,25.4283570383
"164","TUN",10.868978681876,12.5343110593396,14.1395027848138
"165","TUR",21.4842803008148,24.9930486479985,27.462630492654
"166","TZA",0.333650587916211,0.456904676898162,0.539446571164739
"167","UGA",1.8203346034422,2.05841772699425,2.24676836883663
"168","UKR",12.2186016646687,14.4340554767293,16.4574413597673
"169","URY",50.6738946207219,68.5468024315267,83.9524762206112
"170","USA",31.6720908566342,34.6442581899716,37.7203024661616
"171","UZB",5.17460005430683,7.20048144132478,8.948214099627
"172","VCT",5.81649679899541,7.96439230292292,14.5658758938925
"173","VEN",NA,NA,NA
"174","VNM",24.0154862617091,29.5130976970072,36.4382780277776
"175","VUT",0.00842020775473041,0.0584537582481833,3.31538041832795
"176","YEM",NA,NA,NA
"177","ZAF",6.25560625674287,7.86365512801918,9.63920022554197
"178","ZMB",1.0436365022631,1.21550858932545,1.3463730066182
"179","ZWE",3.74185153731854,4.28737220294415,4.88609281142917
