"","iso3c","discqaly_pp_low","discqaly_pp_med","discqaly_pp_high"
"46","DOM",0.0362642697182332,0.0452790187611095,0.0563047655128076
"47","DZA",0.0371085047922313,0.0464428083240985,0.06105192091188
"48","ECU",0.0460812899084252,0.0557949417896102,0.0713244296847953
"49","EGY",0.0749748963170896,0.0874231475766945,0.0989654399342611
"50","ERI",NA,NA,NA
"51","ESP",0.155710465973631,0.172946701433785,0.198976649483351
"52","EST",0.137236127603016,0.156597162044425,0.172003306731171
"53","ETH",0.226532989709163,0.273824484716241,0.30616481012584
"54","FIN",0.131168827875149,0.140908673521143,0.151890664127347
"55","FJI",0.0786372923573735,0.0903703067501043,0.105384874459475
"56","FRA",0.158288012971435,0.188745459593387,0.246604926912067
"57","FSM",NA,NA,NA
"58","GAB",0.084134407510944,0.0983799541995508,0.109321808345651
"59","GBR",0.115111951908061,0.154588376282328,0.2419088528515
"60","GEO",0.137006889423833,0.147543008780247,0.170381411886363
"61","GHA",0.112024290618493,0.124770390376925,0.138245543784403
"62","GIN",0.0937448074958053,0.107629480616913,0.124815704689541
"63","GMB",0.0650386069789415,0.0724672496984055,0.0802180583258085
"64","GNB",0.393597800557098,0.463732648177424,0.555542824807486
"65","GNQ",0.0506000160653585,0.0973671931581157,0.11745040014628
"66","GRC",0.167541411877717,0.182282126801897,0.195005315743637
"67","GRD",0.0115768759856137,0.016047508171218,0.0713914860481069
"68","GTM",0.0991766331874557,0.112332075934644,0.132835095631111
"69","GUY",0.105768969890919,0.11882142117503,0.127495915404609
"70","HND",0.0433573192912005,0.055596368545855,0.0615975153549097
"71","HRV",0.140089622974406,0.163386661105106,0.179376179415544
"72","HTI",0.0267454838181565,0.0327671261200683,0.0395775353328148
"73","HUN",0.0918149627009018,0.10970626086152,0.146163389589604
"74","IDN",0.0729517568694485,0.0876424302142427,0.100471490973317
"75","IND",0.0987133064318981,0.111455425010159,0.116487311773972
"76","IRL",0.132631772115875,0.140932935314895,0.146608761888193
"77","IRN",0.0496614679937593,0.0567796707576992,0.0685521925473803
"78","IRQ",0.0329642481128462,0.0419693242984658,0.0516915516937037
"79","ISL",0.138686319015947,0.216620439163828,0.272454257388905
"80","ISR",0.096218531486724,0.106600146068529,0.117100073864236
"81","ITA",0.139817588998782,0.153536929339473,0.167742345198377
"82","JAM",0.0495237207437449,0.0609379760383648,0.0710591631355952
"83","JOR",0.0863538268637172,0.0962770643406323,0.103761780634997
"84","JPN",0.0387386454251179,0.0486032130240299,0.0592245418042858
"85","KAZ",0.0815780913311549,0.0898028422458922,0.0999484622704302
"86","KEN",0.0867523278580964,0.0992090425878813,0.109040856077465
"87","KGZ",0.0391144055682182,0.0539252441805053,0.0735077873792777
"88","KHM",0.0602055513998372,0.0635080008769079,0.067365210173784
"89","KOR",0.138111924360441,0.158416643635375,0.180280181462131
"90","KWT",0.0504015515481965,0.0565095235013112,0.0650719276821272
"91","LAO",0.0834868681272416,0.0882454050540568,0.0936466774412905
"92","LBN",0.0973780134798886,0.114651673095372,0.130690407154285
"93","LBR",0.0301505059784377,0.0344352718177418,0.0390139176027217
"94","LBY",0.138285813643174,0.159400349066934,0.182138295017023
"95","LCA",0.103107970658444,0.114488631357804,0.131048451548712
"96","LKA",0.0952898653749867,0.101562877038866,0.112703952257017
"97","LSO",0.0235287762349166,0.0273802182348637,0.0313690799064268
"98","LTU",0.149181420209785,0.164123180084665,0.170038642139596
