"","iso3c","y_gained_low","y_gained_med","y_gained_high"
"71","HRV",722.891224562909,11744.2150850946,78570.3005498847
"72","HTI",23.6540074656375,84.0271291199296,1401.8284033204
"73","HUN",1385.80097793414,35669.2144674562,148293.244942635
"74","IDN",43029.5948092347,628682.828721396,1631638.89683214
"75","IND",447300.538762345,4082496.61458227,10244231.5178978
"76","IRL",2821.88674239928,44363.5765477761,93536.5815983975
"77","IRN",13098.6378360183,213077.902805332,509891.287515554
"78","IRQ",3393.82677773974,13733.6733374181,42025.9723859878
"79","ISL",303.358438158106,3332.90020445532,12299.8156550373
"80","ISR",4775.91107110673,43920.5766290691,107868.306288312
"81","ITA",16677.9294260925,389943.568775649,1667058.10201926
"82","JAM",231.19011338989,1547.9350219931,8656.79427504254
"83","JOR",3256.27655815131,29150.5841780939,67976.8074487305
"84","JPN",14067.9533718641,365709.906843714,1391485.91773496
"85","KAZ",3684.47531730516,40713.7729090325,168653.231078632
"86","KEN",4934.99233641945,18864.5843801139,73657.367024802
"87","KGZ",460.77727041447,3190.9330879467,9323.78937392948
"88","KHM",6839.66804187608,49894.6035812778,164427.428647302
"89","KOR",20266.3046260759,478341.520431984,1449347.9009705
"90","KWT",720.791560535048,6722.77989176999,46375.8609904791
"91","LAO",2194.43599148991,18991.1208693327,52454.6595883791
"92","LBN",736.340228810846,13449.4933050107,37288.204486211
"93","LBR",293.092162656907,1354.47073914799,3334.9533920677
"94","LBY",748.02124312837,9797.46545914932,20030.2915428737
"95","LCA",22.5810698113064,264.679966529196,1186.56882406742
"96","LKA",11400.7754706489,103056.904872629,272634.005181545
"97","LSO",195.372362783793,976.36569433492,2778.67533792435
"98","LTU",767.818357670487,10401.1622892197,82808.4894436538
"99","LUX",258.861207821913,4407.58656312636,11982.3243739909
"100","LVA",454.247921897578,6862.54765855315,43398.7861646387
"101","MAR",9390.99981624,136520.980527184,363352.294638237
"102","MDA",410.702282133532,6479.47147679571,23077.1691945619
"103","MDG",867.792361975087,3278.47708611769,10093.0962087047
"104","MDV",328.459420427076,3052.16293787748,5374.88256524823
"105","MEX",32640.7497708409,364885.035186537,906788.290842419
"106","MKD",327.076505783781,3911.47033108928,20496.1737258145
"107","MLI",956.633448739978,2962.99027036835,7165.14207052135
"108","MLT",184.564236052288,3342.83170838822,11768.5124543743
"109","MMR",3188.61490439893,60984.6022336349,164860.638532707
"110","MNE",85.9362715027867,1279.3936390953,6716.95434649392
"111","MNG",1248.30230509824,10650.2034966278,33388.9907432315
"112","MOZ",2892.41456473625,9055.31750692219,25864.8103306809
"113","MRT",1097.47351068122,4550.67284605863,11301.6656315698
"114","MUS",404.63350549045,5416.27057674627,14838.5464792822
"115","MWI",1920.51695359326,6243.83271876525,24146.137785959
"116","MYS",12912.4231218063,188163.80437477,446605.221507023
"117","NAM",143.492801160403,677.299829456741,4304.52181383617
"118","NER",2885.92494069344,8501.32855609613,21763.4589328158
"119","NGA",17972.6687247669,66254.9396712253,179259.694169925
"120","NIC",592.660126211295,3588.50071423052,9000.41473016871
"121","NLD",4972.54415991218,89890.9056673204,308208.803308878
"122","NOR",2256.39139760165,38312.2156852361,102536.641747
"123","NPL",5488.95829901705,41230.1795318966,117799.188445765
"124","NZL",4620.89927118481,38869.990325173,113771.483873086
"125","OMN",250.735033596771,5923.89738065479,16497.9516996558
"126","PAK",52943.081572773,281318.20210507,553499.005749787
"127","PAN",1988.89231649318,15230.7241132043,37582.4933625709
"128","PER",6054.97773899043,51909.9030946067,176648.07809149
"129","PHL",25547.4643191135,283005.600270806,725029.605310115
"130","PNG",73.7830644338446,1337.33475995261,2748.01381530961
"131","POL",4993.2485668026,149926.231810704,527257.96933842
"132","PRK",0,0,0
"133","PRT",4425.74750860535,94525.1644796133,461104.110257616
"134","PRY",383.363065775132,2426.10494317895,20877.1319094156
"135","QAT",496.284874912072,9692.87481719638,32975.5180378176
"136","ROU",1519.91905457296,30204.9185672954,282583.065366473
"137","RUS",29310.7946971276,271790.596279416,2382229.02524036
"138","RWA",4431.73293484947,14376.4793400827,38868.6043254204
"139","SAU",11428.4238289772,98550.2408693797,337243.600540286
"140","SDN",830.743191793861,2221.66091960784,41298.7540388209
"141","SEN",1626.87766476452,6977.73899729861,20956.2130820737
"142","SGP",7931.2550770785,104343.550320522,365852.708926788
"143","SLB",5.33983066132329,167.813437223404,1431.1385728363
"144","SLE",477.308142104739,2059.68667531637,4548.24823922824
"145","SLV",2450.65883742562,22546.0454292028,53582.2756813227
"146","SOM",740.957084914055,2000.92002556366,6250.38999506371
"147","SRB",1344.75033472167,26216.5281030518,107172.05514109
"148","SSD",171.73201774967,624.340199146827,2749.31132011668
"149","STP",113.872398682761,385.171122781746,996.309107072588
"150","SUR",170.74599484244,1774.94813437473,5183.27687280791
"151","SVK",833.629253156407,23471.2047756831,64370.5390764462
"152","SVN",584.316860655887,11565.6416398089,32375.9316876595
"153","SWE",3084.76082888175,46790.1625472575,113505.500566741
"154","SWZ",142.371775206241,899.878557860209,2418.66040001664
"155","SYC",45.309269259857,417.874301264597,1253.45040490148
"156","SYR",425.388932151914,2550.92192333537,7787.16216353892
"157","TCD",153.051090364708,432.34825760263,2410.04507860894
"158","TGO",1174.32873934147,4604.03683106166,12945.8235684994
"159","THA",10944.4732239189,377839.507365059,1128889.44260644
"160","TJK",2183.42478266522,7544.25693584462,22299.620958736
"161","TKM",2197.17368873022,12903.6816795841,31790.399071492
"162","TLS",412.614542558035,2887.44454168126,8096.2680235852
"163","TTO",377.351371260196,4940.7393192363,14771.7293953427
"164","TUN",2694.51732510418,25962.3784119367,83939.2069302852
"165","TUR",33460.4142879398,377690.637895798,922546.867079159
"166","TZA",1399.26117829155,4906.71878012169,13875.3972943525
"167","UGA",5564.39510412029,17718.3941271236,58440.8545762018
"168","UKR",3625.70456311509,54980.7562910857,377452.976370331
"169","URY",5826.10295804652,42372.841831287,107098.556623312
"170","USA",85592.0763104879,1404892.09219995,5712133.46229791
"171","UZB",6832.66689874034,43868.0679994736,118500.413033695
"172","VCT",13.8976729348142,101.495396370293,510.669827172135
"173","VEN",5287.04753598779,37644.6129761584,103200.973574351
"174","VNM",34503.4229997772,476920.039492209,1380514.05474382
"175","VUT",0.0308008073079682,2.47215949833308,192.756352753942
"176","YEM",1155.95580228864,4501.67999411872,15834.4682911615
"177","ZAF",7482.99236748271,74949.8134444174,255694.207798483
"178","ZMB",1375.83675315792,3742.39428896705,14070.3258912566
"179","ZWE",3573.44965294822,12353.4262859964,24903.5593755254
