"","iso3c","undiscvsly_pp_low","undiscvsly_pp_med","undiscvsly_pp_high"
"131","POL",8090.90325348663,8896.037745418,9555.97232871506
"132","PRK",NA,NA,NA
"133","PRT",21020.5272729719,22476.1010449184,30352.995965072
"134","PRY",409.730998680307,503.83047062711,559.977679226573
"135","QAT",13233.5725222707,18045.5685744154,23471.4016460117
"136","ROU",7436.04047701081,8764.43636668093,9906.14700429094
"137","RUS",7796.65376943141,8356.77800678595,8972.37615332925
"138","RWA",149.724889860647,173.310146941068,199.495250626543
"139","SAU",6833.33733903389,7610.13689097501,8592.56334062263
"140","SDN",163.798276471561,221.96205202759,281.586759466392
"141","SEN",573.219955037574,659.790488128569,740.262358299526
"142","SGP",78413.7395923837,95360.0093221312,99767.3492766083
"143","SLB",NA,NA,NA
"144","SLE",105.773358609209,158.725043342848,193.716388844825
"145","SLV",1140.56702524461,1334.10003685768,1416.33686370188
"146","SOM",113.191266840602,128.685967596943,145.069382922869
"147","SRB",4474.93516524049,5281.3312208855,6134.88561314266
"148","SSD",0,0,0
"149","STP",802.018600634719,959.803308033693,1384.1639628394
"150","SUR",1952.76758062045,2238.3863309211,2374.58189148008
"151","SVK",10286.9290122961,12130.9144048993,13076.1992833987
"152","SVN",16317.3644727094,18165.8952720717,20271.9150747334
"153","SWE",20651.018399442,23305.1895519137,26692.5600562424
"154","SWZ",621.525255960705,748.818769037337,877.063652587223
"155","SYC",3520.68193472582,4524.74717385431,5972.99668129308
"156","SYR",89.7951076730099,115.864167423721,144.07967605917
"157","TCD",216.726508500426,294.828744633008,360.738908687183
"158","TGO",308.062507330801,332.317790110307,364.457708797795
"159","THA",3417.43545720708,4215.21072060366,4924.90069414576
"160","TJK",149.202620392068,213.870377426763,269.69252397479
"161","TKM",NA,NA,NA
"162","TLS",740.875073654041,809.698431254338,851.009986854826
"163","TTO",6064.4270473018,7198.93450726267,8715.23013800327
"164","TUN",954.531436421668,1100.783642163,1241.75419775016
"165","TUR",3503.71435958953,4075.93376235139,4478.67982831912
"166","TZA",218.862178624493,299.712203818338,353.856567596628
"167","UGA",591.350924451435,668.694218888929,729.881500591915
"168","UKR",2020.93660254142,2387.36901624222,2722.03371064185
"169","URY",11589.9830381622,15677.8215577845,19201.3616220198
"170","USA",37146.6059156609,40632.5118240091,44240.2497856101
"171","UZB",333.503367912612,464.071577720368,576.713080761657
"172","VCT",2088.28733471845,2859.4427452957,5229.56260434117
"173","VEN",0,0,0
"174","VNM",1611.14901113372,1979.97232501766,2444.56826616391
"175","VUT",1.74642460763333,12.1238198375719,687.638846319534
"176","YEM",0,0,0
"177","ZAF",1815.67771254108,2282.41081184798,2797.75936942524
"178","ZMB",330.245007984924,384.631663339745,426.041982392472
"179","ZWE",311.319723254511,356.706703726185,406.519886392941
