"","iso3c","new_welf_total_low","new_welf_total_med","new_welf_total_high"
"158","TKM",8144559565.22406,11974624379.6802,14664031430.7625
"159","TLS",858759138.212938,956081235.38808,1008815809.82153
"160","TTO",10092673034.5629,11977354748.7525,14818843386.4574
"161","TUN",14332731572.4602,16554899758.5318,18207492710.1501
"162","TUR",450102804984.759,526666258825.009,585070655575.773
"163","TZA",859218687.418584,1144831306.38848,1370547776.06949
"164","UGA",2249776779.01423,2729853926.97614,2898071403.91759
"165","UKR",68245661829.0256,81392745536.1431,93264692430.0184
"166","URY",73333452690.0764,99005365356.5258,123199030737.784
"167","USA",18502395658974.8,20259303742521.5,22047733857151.2
"168","UZB",10526610257.7208,14516682014.3869,17783317419.1129
"169","VCT",132692302.913658,189790241.879358,349082977.773043
"170","VNM",221423700219.541,266964974375.458,322336110919.922
"171","VUT",395905.041248609,1979255.22346815,78645146.2947286
"172","YEM",12136821.1953607,14026605.1047426,15738107.0922804
"173","ZAF",78079274985.9068,92430356783.4503,107039291826.111
"174","ZMB",840052308.395658,1008135016.59488,1119586016.96262
"175","ZWE",3000237471.901,3449110331.97276,4004224760.31561
