"","iso3c","undisc_exwelf_total_low","undisc_exwelf_total_med","undisc_exwelf_total_high"
"44","DNK",37825275996.984,41178029608.0152,45236643282.4645
"45","DOM",1808988017.13329,2233308359.1268,2741335664.00131
"46","DZA",578215331.169621,718354978.343121,947836370.158832
"47","ECU",3415877969.49116,4162910359.88345,5324184034.56707
"48","EGY",3099703846.54977,3586958753.98719,4065726968.05513
"49","ESP",193702613234.169,215361008911.837,245222369834.883
"50","EST",3131140186.63815,3553601480.62135,3894478271.37549
"51","ETH",176704096.757511,207687445.745936,230457663.910089
"52","FIN",30586827848.9251,32865939270.0837,35782945243.9721
"53","FJI",199702925.917169,230783694.616773,268423606.989961
"54","FRA",339081700877.476,400898042041.559,522299449809.488
"55","FSM",27.8100045081158,4784.89318821962,1007800.77764988
"56","GAB",108239744.349462,125182776.029083,138811650.575322
"57","GBR",268616054544.497,361088360729.936,556619391116.298
"58","GEO",630428995.256087,677182107.680011,779422284.290315
"59","GHA",234648054.752173,260371494.780806,289519328.471395
"60","GIN",55179103.0297117,63520724.7848589,74766813.7836765
"61","GMB",6937351.4015315,7740624.02072234,8603343.7604555
"62","GNB",4024082.66086509,4762558.29273089,5946034.39980529
"63","GNQ",87548794.4515696,155516423.928572,184592544.430178
"64","GRC",24451161662.9229,26524522410.2771,28370865330.8951
