"","iso3c","undiscmonqalys_pgdp_low","undiscmonqalys_pgdp_med","undiscmonqalys_pgdp_high"
"120","NIC",0.285743940284523,0.344723638341601,0.405608330148029
"121","NLD",7.42454325758631,8.30059598273444,9.46515315829307
"122","NOR",8.88080211997896,9.81605920815902,10.5658123802496
"123","NPL",0.825960967132056,0.935409385702694,1.23331000487059
"124","NZL",7.55406635523981,10.7804098925921,13.5842175291282
"125","OMN",1.07132424908086,1.46753580290232,2.86910058214983
"126","PAK",0.624094874072898,0.726468757818829,0.879916895082741
"127","PAN",3.12031420543708,3.90468205333229,4.86074304312514
"128","PER",1.27141362189844,1.77059668534234,2.4105287776642
"129","PHL",1.40630189517783,1.70016474491815,2.12704954679064
"130","PNG",0.0620050146859084,0.0796563122792887,0.100202662586175
"131","POL",5.08786331064467,5.5876219665963,6.00204290362218
"132","PRK",NA,NA,NA
"133","PRT",14.8647204394984,15.8891504998612,21.337063147023
"134","PRY",0.604172806153304,0.741503242142651,0.823391899828333
"135","QAT",4.0722546606362,5.56346340643853,7.19460794015045
"136","ROU",2.99553984978126,3.53118136526218,3.99098997491633
"137","RUS",4.21634490968641,4.51731437410314,4.85174863326887
"138","RWA",0.477847509752173,0.554215084680445,0.637359879911802
"139","SAU",4.07915365486807,4.55485901849628,5.16042481770064
"140","SDN",0.0582675012017723,0.0788274335254312,0.0997482512388852
"141","SEN",0.262124284313507,0.299878103866692,0.335906175288881
"142","SGP",24.5206861999829,29.713499852376,31.0660523758545
"143","SLB",0.016815690662322,0.229161502734317,0.965692477409935
"144","SLE",0.0762642085985518,0.113512458549297,0.137973973389037
"145","SLV",2.0439558020864,2.38818280344646,2.53663071451489
"146","SOM",0.0593773702686525,0.0680455205315648,0.0764090240647306
"147","SRB",4.88706692289256,5.77014267381875,6.70164202180142
"148","SSD",NA,NA,NA
"149","STP",1.02691812537224,1.21754451522459,1.74214433218989
"150","SUR",2.8742869769158,3.28338272975423,3.48499071575068
"151","SVK",4.64479586705476,5.4746171526076,5.89914326137768
"152","SVN",6.3008938549391,7.01078284062337,7.82548170634316
"153","SWE",5.01012760134481,5.64190568575452,6.45705794303442
"154","SWZ",0.40584738663926,0.487074262368476,0.570440794467835
"155","SYC",4.50377644218727,5.77025699418528,7.60627613920683
"156","SYR",0.0464554323703349,0.0598010234595442,0.0742196822355
"157","TCD",0.0125398003406547,0.0170176008496407,0.020899853695558
"158","TGO",0.237786759358326,0.256150250555384,0.281216041047378
"159","THA",5.22007000082191,6.41692638890593,7.48378525234453
"160","TJK",0.437707185380271,0.624889681453239,0.791211177621346
"161","TKM",1.56755310277479,2.26644529320445,2.7214159369841
"162","TLS",1.43813421987256,1.56293748391375,1.64209751207326
"163","TTO",3.77093186690093,4.46332920019566,5.3894441257991
"164","TUN",1.35304950029141,1.56099746486266,1.76316502234944
"165","TUR",4.18615783385632,4.86549116917004,5.34072349611641
"166","TZA",0.044208755332148,0.06034356487902,0.0716855099266026
"167","UGA",0.170001388145009,0.191078755036613,0.208788423370975
"168","UKR",1.33016234740281,1.572183629144,1.79287759128389
"169","URY",11.6791734733975,15.75081375287,19.2514357052297
"170","USA",6.67655418701154,7.30767768843737,7.95128889547412
"171","UZB",0.613463974167702,0.849083982308831,1.05558011761179
"172","VCT",1.03007300144651,1.40392212686997,2.5379615503142
"173","VEN",NA,NA,NA
"174","VNM",2.87011176062545,3.51293556910336,4.31889388627579
"175","VUT",0.000845885225868327,0.00787762923296717,0.382445251590711
"176","YEM",NA,NA,NA
"177","ZAF",1.25968644808426,1.58210015315396,1.92065397344174
"178","ZMB",0.138318718075439,0.159802397679652,0.176927724604264
"179","ZWE",0.421590624647591,0.48407957765921,0.549028008901994
