"","iso3c","lg_pp_low","lg_pp_med","lg_pp_high"
"37","COM",0.0812194560417866,0.0952658130804756,0.107300372375581
"38","CPV",0.0883550099282985,0.101317202986308,0.110419020146439
"39","CRI",0.12323172892092,0.142515847221104,0.157650882602488
"40","CUB",0.181572496990335,0.256703830707856,0.308032750674737
"41","CYP",0.123178388957757,0.157737629485609,0.191400667938728
"42","CZE",0.140175578473543,0.168086496677632,0.190643005639602
"43","DEU",0.217483864350663,0.234059415710352,0.254638144038153
"44","DJI",0.109542805267325,0.133438429375872,0.152697685822188
"45","DNK",0.154113906038049,0.16867376123073,0.186259831998881
"46","DOM",0.0474274757657414,0.0596441198135636,0.0748045998410102
"47","DZA",0.0476855948574478,0.0609221864681267,0.0802901568552556
"48","ECU",0.0633104397400155,0.0771198395303001,0.0988290116006325
"49","EGY",0.097126114336296,0.113277429210181,0.128177172968869
"50","ERI",NA,NA,NA
"51","ESP",0.21342979584681,0.237449271542842,0.273228612978926
"52","EST",0.179483928521578,0.20433613915961,0.224220576961344
"53","ETH",0.287345815667124,0.348493748306775,0.392927169541378
"54","FIN",0.181454079681514,0.194442871670343,0.212858046980721
"55","FJI",0.103163182569109,0.120533331447197,0.142741126316015
"56","FRA",0.213905665852978,0.255914129908709,0.33988637722397
"57","FSM",NA,NA,NA
"58","GAB",0.108121535538923,0.127157021827276,0.141491583252994
"59","GBR",0.15823487659405,0.216355137430508,0.339811120699051
"60","GEO",0.172561465614982,0.185182617890377,0.213695044729581
"61","GHA",0.142502892196677,0.159642961641007,0.177305559137373
"62","GIN",0.119135490677398,0.136710089033797,0.15896865679631
"63","GMB",0.0838032572266831,0.0935364290767056,0.103783316872362
"64","GNB",0.487666021327437,0.574596992963716,0.683752023813606
"65","GNQ",0.0618771922232811,0.126761987762835,0.156258379678932
"66","GRC",0.223814585502752,0.24309960175929,0.260104930306398
"67","GRD",0.0143548495179912,0.0197631680985117,0.0918463467043069
"68","GTM",0.132208634181356,0.150922474874243,0.181456815226566
"69","GUY",0.13475273273729,0.15153146892807,0.162550058034155
"70","HND",0.0567870862059145,0.0733713942317503,0.08154804906849
"71","HRV",0.180793201098784,0.210779422065006,0.231073083857055
"72","HTI",0.033089612952041,0.0406053875603164,0.0488160260035424
"73","HUN",0.113437172223654,0.137569527680686,0.185216112545346
"74","IDN",0.0958975305889112,0.115717931513333,0.133066337012164
"75","IND",0.130438831954313,0.147292391420337,0.154361866617616
"76","IRL",0.181719476529851,0.192781565625879,0.200561592190652
"77","IRN",0.0679643337889166,0.0777146978770993,0.0943700669423591
"78","IRQ",0.0424259863594745,0.055001381529434,0.0675621405109507
"79","ISL",0.191658925062067,0.299087317407189,0.376375323666687
"80","ISR",0.134255538225029,0.148741027516271,0.164423767834517
"81","ITA",0.190361421017518,0.208190578468733,0.227117031968501
"82","JAM",0.0630931693332476,0.0784816728840337,0.0920895663943202
"83","JOR",0.122925675691747,0.137235185108166,0.147191763722945
"84","JPN",0.0529488400051608,0.066805356430975,0.0816046635612745
"85","KAZ",0.108565922016024,0.119138692170235,0.132902052969149
"86","KEN",0.113228696143142,0.129570517070305,0.142656088797425
"87","KGZ",0.0505198280147495,0.0712079870162234,0.0985387053802352
"88","KHM",0.079829258335409,0.0842759188913948,0.089107752886826
"89","KOR",0.193075644117424,0.221401666785995,0.251393578196025
"90","KWT",0.0749691853564975,0.084296628108052,0.0962016915237516
"91","LAO",0.112231403463311,0.118734461406459,0.126064837256014
"92","LBN",0.129468230101876,0.153070845290093,0.175316576063438
"93","LBR",0.0388355250719263,0.0439526360684135,0.0500021290726467
"94","LBY",0.188554292485984,0.219040125271127,0.251178029257393
"95","LCA",0.133037232896357,0.148125627487139,0.169340274747798
"96","LKA",0.126231980067146,0.134455605877253,0.149144528333406
"97","LSO",0.0271166519779424,0.0317424399699345,0.0364414733534339
"98","LTU",0.188294493259016,0.20686450375208,0.214421889784422
"99","LUX",0.165049611625089,0.194812325452841,0.265764643911832
"100","LVA",0.153411371910109,0.179216108441227,0.191191005297144
