"","iso3c","vsly_disc_pgdp_low","vsly_disc_pgdp_med","vsly_disc_pgdp_high"
"67","GRD",1.99601689243638,2.72448071180741,12.3597086125038
"68","GTM",13.0330606997817,14.8758623883841,17.6746746256994
"69","GUY",18.0533103122967,20.3856157201553,21.8556431582571
"70","HND",8.21297925466677,10.6365415226574,11.827973607201
"71","HRV",46.7249889060854,54.4862452543037,59.832076962702
"72","HTI",0.0755117190007531,0.0923253310436649,0.11137428492292
"73","HUN",35.497187500418,42.5812243504065,56.9595297659655
"74","IDN",15.1609222460721,18.183534396497,20.9286557421485
"75","IND",19.5353654795555,22.1129287345063,23.12069020773
"76","IRL",43.0952912384133,45.857743525197,47.7182688005407
"77","IRN",13.8452076743181,15.7944929051418,19.0998674183536
"78","IRQ",2.00311788010551,2.54657671001071,3.15438066757564
"79","ISL",56.3018233785753,88.8191013910787,112.34772888654
"80","ISR",29.4444516725015,32.6900967668567,36.1359446393163
"81","ITA",68.0615778248371,74.6706793578732,81.7078216585725
"82","JAM",5.44388146391523,6.71270768820583,7.85032291481539
"83","JOR",16.2293667999033,18.0908225651864,19.4617395987194
"84","JPN",21.5682392761796,27.1449650265173,33.1225515657377
"85","KAZ",17.4152509722344,19.2578206845493,21.446454015867
"86","KEN",2.83057594575128,3.2534583006625,3.56553059246972
"87","KGZ",2.71020681673824,3.78039282675828,5.19240773345242
"88","KHM",26.290626843624,27.7588946249119,29.3908513500914
"89","KOR",68.3568739796374,78.5528934608353,89.6295924486103
"90","KWT",21.3902461299012,24.0739958978703,27.4206384472295
"91","LAO",20.3490085089876,21.5267671387529,22.8538348687876
"92","LBN",20.2272786153959,23.8424301368833,27.1612328986899
"93","LBR",1.66562009000042,1.88624741193951,2.14893548902936
"94","LBY",10.9215401376258,12.6477149191182,14.5045163363532
"95","LCA",15.7770908836109,17.5724957700878,20.1037634896587
"96","LKA",35.8212019958692,38.1979488090682,42.3949880467927
"97","LSO",4.65733525638958,5.40875541940552,6.17204800495925
"98","LTU",61.4816092885536,67.6312422856584,70.1091310232429
"99","LUX",30.7321684860784,36.2615556860993,49.0551861216568
"100","LVA",53.1485522434215,62.2400654649897,66.681428532578
"101","MAR",24.2671223973012,28.0592846168655,32.434442499295
"102","MDA",24.8108014699775,28.4248165938643,30.7628845612612
"103","MDG",0.744470977686934,0.947919030740906,1.09297651409701
"104","MDV",28.4062186407221,31.5343436722826,36.9245164509579
"105","MEX",17.6986835678001,21.0796724688872,23.6723110978924
"106","MKD",27.3564602330859,32.6720578517131,37.7623917305584
"107","MLI",0.671143694538616,0.953076672178613,1.15769233826758
