"","iso3c","mean_monqalys_pgdp_low","mean_monqalys_pgdp_med","mean_monqalys_pgdp_high"
"123","NPL",4670.01176396372,5287.27198227018,6994.95741004865
"124","NZL",7238.333411402,10430.1393746571,13219.8174482639
"125","OMN",885.909436629484,1194.62221985472,2275.07039510562
"126","PAK",27065.2319774632,31441.9885461448,38118.9420562536
"127","PAN",2981.22402231376,3739.91302267732,4665.58827145502
"128","PER",8029.82313510593,11196.6180840411,15238.3232163293
"129","PHL",30465.2968771564,37077.3928979716,46668.3682333582
"130","PNG",114.992050655972,148.152318687572,186.317273088464
"131","POL",36763.6104279273,40422.5797047442,43421.3389264339
"132","PRK",NA,NA,NA
"133","PRT",29563.361933296,31610.3157477452,42682.5075610896
"134","PRY",776.307309227515,954.525226244949,1060.93693852274
"135","QAT",2025.01073585974,2761.26577261665,3590.95377336272
"136","ROU",12964.8971290971,15280.8292664381,17270.4828195578
"137","RUS",119664.697017215,128261.175043988,137709.373352429
"138","RWA",1195.8923243479,1384.17902079355,1593.21658664134
"139","SAU",27599.2544850879,30739.0050655381,34707.3396417951
"140","SDN",513.667192951739,695.966191334067,883.097793181457
"141","SEN",817.798035078652,941.250236231103,1055.95090090954
"142","SGP",25706.9486804931,31259.2446829649,32702.9996789773
"143","SLB",1.88338982066995,25.945479010361,117.443509723159
"144","SLE",117.220276877144,175.855331783943,214.607143853487
"145","SLV",4056.36649044312,4744.61520372928,5037.1430377242
"146","SOM",187.374499560607,213.029008825773,240.161464873304
"147","SRB",6424.67200470111,7582.46503647166,8808.05675946622
"148","SSD",NA,NA,NA
"149","STP",42.1008104061058,50.375308768563,72.6264559458666
"150","SUR",338.085009166213,387.52766938549,411.106377328357
"151","SVK",4865.29816970573,5737.41668021537,6184.4064812235
"152","SVN",2547.09043567398,2835.61068732791,3164.41818581399
"153","SWE",9935.2547021644,11211.9268716944,12841.563809321
"154","SWZ",90.8336224866913,109.440002705032,128.160671661969
"155","SYC",83.3943578833442,107.170432070196,141.467328841441
"156","SYR",186.221264229114,240.247241106241,298.781100928984
"157","TCD",39.8488760117126,54.2191617164344,66.3351782455882
"158","TGO",381.867809758772,411.930959263586,451.754624540018
"159","THA",70954.2903399744,87514.1858499359,102244.983372457
"160","TJK",769.023915787853,1102.15579495436,1389.89629073097
"161","TKM",1819.57768531058,2668.97727714632,3219.09597311097
"162","TLS",358.39042967888,391.667118261315,411.647625231712
"163","TTO",1096.17402015042,1301.19025506401,1575.28496856562
"164","TUN",3160.4603946619,3644.67634728128,4111.34836108813
"165","TUR",67323.5114193013,78318.5270943819,86060.0009286794
"166","TZA",509.081231982395,697.056777912826,823.08172404111
"167","UGA",1446.70804266459,1635.9643182282,1785.58389402242
"168","UKR",10608.8242271405,12532.513547471,14288.9321123874
"169","URY",7676.45455729582,10383.5297346484,12717.3469321981
"170","USA",421713.850211375,461296.072585375,502244.264662665
"171","UZB",4018.2291848639,5590.92839267551,6947.62732882164
"172","VCT",20.3851071183455,27.9146897387509,51.041681681195
"173","VEN",NA,NA,NA
"174","VNM",52915.2855624484,65020.9168244983,80268.8687609484
"175","VUT",0.0496105520845979,0.348166917624978,19.5296705878319
"176","YEM",NA,NA,NA
"177","ZAF",14104.0013004065,17725.1462674156,21720.812168647
"178","ZMB",506.292454527768,589.715666681621,653.125483637597
"179","ZWE",1247.21387164374,1428.96663634529,1628.43931915406
