"","iso3c","del_cost_total_low","del_cost_total_med","del_cost_total_high"
"149","STP",8932827.03119999,8932827.03119999,8932827.03119999
"150","SUR",41733084.0966,41733084.0966,41733084.0966
"151","SVK",488331216.5634,488331216.5634,488331216.5634
"152","SVN",219292607.8356,219292607.8356,219292607.8356
"153","SWE",1351164164.541,1351164164.541,1351164164.541
"154","SWZ",52760430.1788,52760430.1788,52760430.1788
"155","SYC",14659838.82,14659838.82,14659838.82
"156","SYR",136718282.60226,136718282.60226,136718282.60226
"157","TCD",14257974.12918,14257974.12918,14257974.12918
"158","TGO",140754010.23819,140754010.23819,140754010.23819
"159","THA",8126664858.5862,8126664858.5862,8126664858.5862
"160","TJK",485933322.258,485933322.258,485933322.258
"161","TKM",0,0,0
"162","TLS",91305931.9818,91305931.9818,91305931.9818
"163","TTO",122534953.5888,122534953.5888,122534953.5888
"164","TUN",987966734.953801,987966734.953801,987966734.953801
"165","TUR",9501124819.9113,9501124819.9113,9501124819.9113
"166","TZA",201766043.27649,201766043.27649,201766043.27649
"167","UGA",233045820.9,233045820.9,233045820.9
"168","UKR",2310716890.524,2310716890.524,2310716890.524
"169","URY",501451597.9485,501451597.9485,501451597.9485
"170","USA",38100721688.229,38100721688.229,38100721688.229
"171","UZB",1995741561.0108,1995741561.0108,1995741561.0108
"172","VCT",4522110.9624,4522110.9624,4522110.9624
"173","VEN",2006832554.0934,2006832554.0934,2006832554.0934
"174","VNM",10469640648.897,10469640648.897,10469640648.897
"175","VUT",8462043.92999999,8462043.92999999,8462043.92999999
"176","YEM",47276545.35744,47276545.35744,47276545.35744
"177","ZAF",2831462100.159,2831462100.159,2831462100.159
"178","ZMB",144659489.13324,144659489.13324,144659489.13324
"179","ZWE",544099059.0306,544099059.0306,544099059.0306
