"","iso3c","hc_costs_total_low","hc_costs_total_med","hc_costs_total_high"
"165","TUR",2948155653.44781,3275464548.20511,3546645034.83318
"166","TZA",8479914.96697129,11090941.0546748,14397643.1227443
"167","UGA",26223544.0472983,29850843.5432554,34981861.2587006
"168","UKR",258803199.068554,299978076.697745,353819028.412069
"169","URY",452481032.246611,527567910.088864,580204582.45937
"170","USA",129286365509.028,145746746057.683,166378844514.79
"171","UZB",105640515.877632,130091957.773923,159621839.87795
"172","VCT",953390.771065849,1125445.17687507,1387747.65403718
"173","VEN",0,0,0
"174","VNM",2062893736.30089,2304568192.2329,2552469189.58457
"175","VUT",2901.14727875785,43064.5916821952,4404041.96231713
"176","YEM",4303313.25574108,4750307.37028248,5285422.92703731
"177","ZAF",526867653.484678,735083926.012744,996516683.741749
"178","ZMB",5500755.04955972,7147589.51449601,8515857.2232801
"179","ZWE",36086010.0101986,44063027.3510854,53040559.2909146
