"","iso3c","hccosts_pp_low","hccosts_pp_med","hccosts_pp_high"
"92","LKA",23.7780182224035,25.7070461513764,28.3134486667243
"93","LSO",2.82344286337048,3.26337120155246,3.64556761482662
"94","LTU",134.917564409837,148.627560555114,153.820575879127
"95","LUX",509.581234408601,600.211417033957,683.529157117116
"96","LVA",111.444017541142,128.004644607171,137.362203270213
"97","MAR",5.96943894746569,6.66443054508017,7.39446522591384
"98","MDA",13.1151895765463,15.0228933370916,16.5264375444873
"99","MDG",8.69849050224918,10.17436793138,11.5883071785778
"100","MDV",22.6919335955309,24.6427834239777,27.1084081480331
"101","MEX",20.4860284564549,23.9925589028631,26.1669405634851
"102","MKD",38.8125744440957,44.2688613148986,51.4929200918565
"103","MLI",11.479120057372,13.6865128630478,16.4523343845309
"104","MLT",159.165246728839,188.026663454699,205.820537667182
"105","MMR",5.4123194204267,6.24253198735213,7.35403757113572
"106","MNE",39.1747424861934,46.4294493774551,56.7883543599726
"107","MNG",8.11433374184388,8.76749099736466,9.5289900023074
"108","MOZ",2.66514452206465,3.33109230990442,4.14501325399071
"109","MRT",5.73600352048597,7.40401714539362,8.68389435271567
"110","MUS",32.0715402254374,36.1869851956624,40.3405235070231
"111","MWI",14.0444824335657,15.1580165590728,16.0655521099431
"112","MYS",33.7419343212717,38.3974995582612,42.4600752144655
"113","NAM",15.8455294607934,20.5068336402734,23.7142174613227
"114","NER",8.91975973331796,11.136849268286,13.6335896876347
"115","NGA",22.6353448647977,24.8382801141922,26.374245408009
"116","NIC",1.65125035631482,2.0087587400247,2.32863697306407
"117","NLD",268.632953744735,287.326618575687,313.694329419537
"118","NOR",405.254365989634,444.801804534407,483.850960311399
"119","NPL",6.39416868206433,7.1831220793036,8.8362722013887
"120","NZL",80.4864998787778,91.5262341321669,121.353556111942
"121","OMN",26.6000821917023,37.2383659587023,63.2572224464402
"122","PAK",4.51791859064165,5.47599363359358,6.4979650269851
"123","PER",9.65275912959005,12.7776060444458,16.4633971751878
"124","PHL",5.86578059868492,8.07825069488315,9.83138257259395
"125","PNG",9.31639620385946,10.957756868405,13.1037802192018
"126","POL",104.654957497768,115.187909073567,122.695223811018
"127","PRT",168.837092646875,213.906272175105,246.730785619801
"128","PRY",5.70611891251068,7.13692094622021,7.8393902582536
"129","QAT",188.36023655861,243.511183123241,274.793400750007
"130","ROU",69.5305865176532,82.3100770870541,90.6742804227826
"131","RUS",75.2982546696658,81.2080730290178,87.9337671920351
"132","RWA",4.14351801869097,4.72973648681726,5.37693736862175
"133","SAU",64.0442070558048,73.1081867928614,82.8382042320859
"134","SDN",9.04776761785531,12.0806650596742,15.7684070408886
"135","SEN",12.2511969512668,13.5052928334177,15.2548858567987
"136","SGP",301.814060023486,367.68923264402,487.388398830587
"137","SLB",NA,NA,NA
"138","SLE",6.23527049088549,7.66025282747411,8.75257403520176
"139","SLV",7.48955594262286,8.75477837518955,9.29910492534925
"140","SRB",43.4170286552653,49.9186573916095,58.0100084007322
"141","SSD",18.896136920127,24.8140927413791,30.1868997410178
"142","STP",8.21279865089387,9.68118015264403,10.7739855244589
"143","SUR",10.6689443838523,12.1884386620814,12.8851440673741
"144","SVK",129.643285972712,150.256154982064,162.045930218054
"145","SVN",142.18602007182,160.326825005972,181.554761035237
"146","SWE",154.657601741886,169.866767597501,184.875860439847
"147","SWZ",6.70546567005904,7.70472488694191,8.77079592653152
"148","SYC",60.2098342290255,81.2921639457781,108.081119961572
"149","SYR",5.47963915872578,6.6369283792845,8.22184583245267
"150","TCD",11.2785341918948,15.9793661088274,19.6664373181863
"151","TGO",14.7274495381249,15.9272485468442,17.164175052269
"152","THA",11.8546822087234,14.0004932097772,16.0226368258263
"153","TJK",5.0422970771945,6.44915322716731,7.77208834596126
"154","TKM",NA,NA,NA
"155","TLS",6.35092449894002,7.00551828527922,7.27305693188183
"156","TTO",106.674356713705,122.796492590869,149.755173770577
"157","TUN",31.3138566519114,35.8018373173139,39.7821180394698
"158","TUR",27.2254491147003,31.2843006932893,34.742613077207
"159","TZA",24.5956888090162,30.5180713448081,36.029525806462
"160","UGA",21.3246493429515,25.3250108460181,26.9343801986918
"161","UKR",11.2293053070462,13.5447782779101,15.7263529846048
"162","URY",30.3163787975668,33.8984566245843,39.6456898363216
"163","USA",314.470494234806,346.096577393249,387.466611337785
"164","UZB",33.4741032066535,43.4367095598448,52.1290171773855
"165","VCT",15.0234984824717,21.3459911579211,28.5983618723375
"166","VNM",9.65640689020257,10.7651513304603,11.3878987805279
"167","VUT",0.0364995151551825,0.316863871357124,8.12052154963449
"168","YEM",28.0964524481714,33.2461836770922,37.5929533909997
"169","ZAF",21.1197930246081,24.4412062934793,27.5085726555288
"170","ZMB",8.18638748166913,9.45614564133379,10.3930365035185
"171","ZWE",5.12571739753538,5.91103958079658,6.68517627158475
