"","iso3c","undiscqalys_averted_sum_low","undiscqalys_averted_sum_med","undiscqalys_averted_sum_high"
"42","CZE",945700.349487343,1129438.66497087,1279771.71971253
"43","DEU",13080353.2987093,14047291.0916953,15277780.7831067
"44","DJI",7376.4529801115,8994.71341049965,10329.0828933074
"45","DNK",720882.47912461,787312.266760639,867780.72666492
"46","DOM",293655.722440589,367096.16408816,456885.607100321
"47","DZA",284754.222098449,357366.918263241,470843.681855895
"48","ECU",807892.659592087,977816.722012918,1258993.39170617
"49","EGY",1744792.50356233,2031459.31024142,2293844.78780681
"50","ERI",0,0,0
"51","ESP",8393249.74328165,9323158.40611251,10700838.4579659
"52","EST",149135.722918859,169577.904654923,186004.060663993
"53","ETH",440337.536276656,528740.694397962,595771.332760207
"54","FIN",769473.154856771,823724.836997709,897971.637747623
"55","FJI",64207.4406725909,74456.5339077958,87495.8268832072
"56","FRA",10316717.2444034,12299916.0969629,16237491.0782327
"57","FSM",0.0154075995301647,2.43923526573072,531.922111149498
"58","GAB",17832.0583252242,20771.9587717657,23024.8261530604
"59","GBR",7666315.88423415,10410040.793318,16300367.013272
"60","GEO",185598.356031536,199137.242471092,229547.578679016
"61","GHA",200839.345555437,224178.571301162,249441.453733179
"62","GIN",106932.107319864,122190.634002725,141710.025676698
"63","GMB",20354.2894766367,22693.127333123,25171.214288205
"64","GNB",11006.2078128585,12922.0187750176,15549.1005441507
"65","GNQ",14286.0665773126,27740.8240790566,33538.9202166279
"66","GRC",1566534.76492147,1699934.91944409,1816551.85564794
"67","GRD",516.46009388449,714.865174477814,3284.00381585057
"68","GTM",581809.344612698,660683.084945362,788299.204936697
"69","GUY",40287.7244837717,45077.3046651173,48329.5728734144
"70","HND",233166.73879518,298238.78615238,330488.532114798
"71","HRV",362599.104176093,422821.555986735,463434.839230347
"72","HTI",2427.41794000392,2978.8278839663,3578.58982707288
"73","HUN",711041.343899916,857481.594576569,1148838.139218
"74","IDN",10160176.3274614,12293051.7457979,14049007.2863031
"75","IND",67250446.0113574,75715488.6866599,79328939.4303921
"76","IRL",727949.297313841,771198.011883404,801875.143339803
"77","IRN",3435860.48663467,3933428.35161003,4772635.54672911
"78","IRQ",222437.34457983,287754.620815358,352272.642239305
"79","ISL",52835.7167876299,81741.3904107175,102253.978400333
"80","ISR",774505.369794787,856365.722933295,940307.401437305
