"","iso3c","disc_exwelf_low","disc_exwelf_med","disc_exwelf_high"
"113","MWI",8.2869267423912,9.0683136422773,8.2869267423912
"114","MYS",6.2205950149189,6.95106235618837,6.2205950149189
"115","NAM",3.37875766925502,4.42418061545505,3.37875766925502
"116","NER",7.70896821506355,9.40545420492863,7.70896821506355
"117","NGA",12.7890533620504,13.9258833261246,12.7890533620504
"118","NIC",0.869561838373716,1.06246066680634,0.869561838373716
"119","NLD",9.17660973284119,10.1538812634232,9.17660973284119
"120","NOR",10.3340984400596,11.4270065626066,10.3340984400596
"121","NPL",3.41046011451953,3.85028227319682,3.41046011451953
"122","NZL",9.15675608612161,12.6089321479396,9.15675608612161
"123","OMN",1.70699219560457,2.59640045940286,1.70699219560457
"124","PAK",3.12737635710689,3.67275472634766,3.12737635710689
"125","PAN",4.93005606637654,6.11567309262824,4.93005606637654
"126","PER",2.11728767593087,2.96572510140539,2.11728767593087
"127","PHL",4.04249398220546,4.73808233801362,4.04249398220546
"128","PNG",3.6647412140282,4.58311526671769,3.6647412140282
"129","POL",8.17020733122924,8.99233641349966,8.17020733122924
"130","PRT",14.4537161000134,15.5885187949374,14.4537161000134
"131","PRY",1.39557261497657,1.71038874741545,1.39557261497657
"132","QAT",4.48964120451161,6.10614503584056,4.48964120451161
"133","ROU",7.52101210170687,8.87489979019444,7.52101210170687
"134","RUS",9.53837937271393,10.2386181530633,9.53837937271393
"135","RWA",2.41303458624865,2.80074307562469,2.41303458624865
"136","SAU",5.58887130665606,6.33934923665074,5.58887130665606
"137","SDN",3.62983678284923,4.85775826381817,3.62983678284923
"138","SEN",6.19581746432589,7.03465239498433,6.19581746432589
"139","SGP",20.4221573560274,24.2538061056574,20.4221573560274
"140","SLB",NA,NA,NA
"141","SLE",3.28024812532107,4.3971698181526,3.28024812532107
"142","SLV",3.155896342602,3.65131736901623,3.155896342602
"143","SOM",2.1334613536054,2.47646246517645,2.1334613536054
"144","SRB",7.74809119878385,9.15483064569788,7.74809119878385
"145","SSD",NA,NA,NA
"146","STP",5.5032751503397,6.52719729948052,5.5032751503397
"147","SUR",6.94297948265285,7.89036095644415,6.94297948265285
"148","SVK",8.64404026625943,10.1793273147705,8.64404026625943
"149","SVN",9.55261768820729,10.6772842599224,9.55261768820729
"150","SWE",6.09356242448524,6.83780132387981,6.09356242448524
"151","SWZ",2.06770890733283,2.4415075519489,2.06770890733283
"152","SYC",5.41690698646875,6.93640963636388,5.41690698646875
"153","SYR",2.44217415853502,3.03335180431765,2.44217415853502
"154","TCD",5.5189247877756,7.6032458993891,5.5189247877756
"155","TGO",4.97483800648947,5.40298279055005,4.97483800648947
"156","THA",7.44680701117355,9.08755089673082,7.44680701117355
"157","TJK",2.60754321150787,3.55757085445875,2.60754321150787
"158","TKM",NA,NA,NA
"159","TLS",3.9442925289419,4.31716280895999,3.9442925289419
"160","TTO",7.77345127034238,9.10806272094287,7.77345127034238
"161","TUN",3.80852409276547,4.38902367688759,3.80852409276547
"162","TUR",5.99791095052281,6.94805120418986,5.99791095052281
"163","TZA",4.88287650977815,6.34185007522568,4.88287650977815
"164","UGA",9.95593014410935,11.3417085886968,9.95593014410935
"165","UKR",4.43974654536769,5.24833042411644,4.43974654536769
"166","URY",11.887213067407,15.8037024036825,11.887213067407
"167","USA",9.57199558347593,10.4988147579871,9.57199558347593
"168","UZB",3.51428888423626,4.66895600476991,3.51428888423626
"169","VCT",4.07327264158389,5.51800331128864,4.07327264158389
"170","VNM",5.12032541881593,6.0711194411643,5.12032541881593
"171","VUT",0.00913377359827263,0.0943241421497545,0.00913377359827263
"172","YEM",15.3130245023581,17.7404155338441,15.3130245023581
"173","ZAF",4.85203844622603,6.01897014683393,4.85203844622603
"174","ZMB",4.30289033859321,5.0110790914188,4.30289033859321
"175","ZWE",2.91375224834079,3.36846455023973,2.91375224834079
