"","iso3c","discqalys_averted_sum_low","discqalys_averted_sum_med","discqalys_averted_sum_high"
"43","DEU",8988130.41014762,9681707.98772609,10568483.7183799
"44","DJI",5717.12390317829,6922.89983327609,7846.34155604051
"45","DNK",488499.261059009,534923.01627652,591643.960809952
"46","DOM",189710.749918642,237752.176233052,297081.291001219
"47","DZA",186730.903163728,237157.795747763,312440.389885085
"48","ECU",500888.64010463,608696.217242064,777674.05993027
"49","EGY",1207270.67734423,1410102.57603389,1595618.60130371
"50","ERI",0,0,0
"51","ESP",5713253.29511514,6349645.21004289,7320438.71591376
"52","EST",106761.569912691,121912.495486323,133958.904762388
"53","ETH",305370.169456653,370843.593180403,415596.872787051
"54","FIN",519528.119132865,558260.018669971,603504.69974782
"55","FJI",44674.7895531883,51571.3768178516,60407.990409723
"56","FRA",7125232.44227674,8517138.48257539,11164731.6262017
"57","FSM",0.0122816303799565,1.65434340974127,354.921410716985
"58","GAB",12197.7804601856,14350.2721026397,16003.7669725233
"59","GBR",5204510.32860946,7017678.71662312,11013421.1559609
"60","GEO",139249.670171727,150029.395802652,173322.521815202
"61","GHA",137988.064670326,153791.347456961,170475.239385359
"62","GIN",68770.9586345436,79195.7520811096,91992.6585234227
"63","GMB",13544.1127184616,15121.5967075775,16762.2530426136
"64","GNB",7354.76680559714,8710.96871925014,10341.8338470321
"65","GNQ",8645.36555413127,17195.3261105862,20998.5456127421
"66","GRC",1104838.39356246,1202658.45009306,1287414.04732124
"67","GRD",393.075944425264,541.311112015893,2431.12706684875
"68","GTM",403205.441446546,459117.555137276,544807.833544038
"69","GUY",28877.0375765845,32555.4962687875,34915.8219149778
"70","HND",159583.241483915,206065.469874769,228898.944745399
"71","HRV",267038.921060501,311406.573814434,341941.586550175
