"","iso3c","lg_pp_low","lg_pp_med","lg_pp_high"
"119","NGA",0.219560865420365,0.239637616441315,0.253112610263534
"120","NIC",0.0154514059158215,0.018695218371243,0.0218269564416716
"121","NLD",0.108552255153173,0.121413475902454,0.138822842405562
"122","NOR",0.122793252380209,0.136375011233543,0.146975795052163
"123","NPL",0.0562815551271058,0.0638098527860432,0.083802522015552
"124","NZL",0.101901698585464,0.148158931258252,0.188154927040446
"125","OMN",0.0168104645760057,0.0223085023094894,0.0410078960356104
"126","PAK",0.053787863303356,0.0619178212010889,0.0749128777792752
"127","PAN",0.0629775034197612,0.0789493865878131,0.0979745121382426
"128","PER",0.0253814374761389,0.0354701340665357,0.047687837277892
"129","PHL",0.0822834801721842,0.0987946952563724,0.122184345625962
"130","PNG",0.0598469755539612,0.0768447232476445,0.0963936570539751
"131","POL",0.0959078502347715,0.105838991587582,0.113682530925849
"132","PRK",NA,NA,NA
"133","PRT",0.176820639562072,0.189054219740785,0.253879759909532
"134","PRY",0.0188899235319815,0.0233728424134387,0.0259804186916781
"135","QAT",0.0444402512519665,0.0602108019104039,0.0773916631567206
"136","ROU",0.105476283769086,0.124415423951193,0.140002801442029
"137","RUS",0.136399311739982,0.146630160321728,0.157226405159528
"138","RWA",0.0438283862298618,0.0504237086379218,0.057765473546899
"139","SAU",0.061813988599299,0.0687779960131283,0.0775174254536452
"140","SDN",0.0735891854180826,0.0996980578493134,0.127274192314082
"141","SEN",0.0953437038216119,0.109568010174667,0.122690593670106
"142","SGP",0.259759613890464,0.312558506943768,0.3264128394151
"143","SLB",NA,NA,NA
"144","SLE",0.0504120799755725,0.0746666701950392,0.0909889444144079
"145","SLV",0.0611547391096291,0.0716545793748992,0.0760607780429105
"146","SOM",0.0469218754545352,0.0534142949261653,0.0600798182434011
"147","SRB",0.107653604945707,0.126994267278864,0.147821152958679
"148","SSD",0.0417826443748233,0.0620341072678849,0.0752334021564357
"149","STP",0.0874485898131209,0.10565045989848,0.14837743064756
"150","SUR",0.0982379201995973,0.112937442059316,0.119771755101324
"151","SVK",0.104052623671571,0.122804663734818,0.132436870248463
"152","SVN",0.115705308066327,0.128977785752817,0.144387033443348
"153","SWE",0.0714200307289591,0.0807657561691839,0.0927715511294259
"154","SWZ",0.0365753482256861,0.0441499799195567,0.0516011248489786
"155","SYC",0.0567914245353962,0.0728492493105023,0.0961103079815256
"156","SYR",0.0399277613817224,0.0511810252391361,0.0642404684489375
"157","TCD",0.083466857183003,0.114491831026564,0.140174381078662
"158","TGO",0.0783321729519904,0.084821318151956,0.0923317596570594
"159","THA",0.100674562441636,0.124410120329056,0.145277706726148
"160","TJK",0.0297445350823312,0.0425047510071248,0.0534722800633445
"161","TKM",NA,NA,NA
"162","TLS",0.0751803628990299,0.082746058359031,0.0870352590139479
"163","TTO",0.0886593578107171,0.105371545847504,0.128494600340158
"164","TUN",0.0633551053501979,0.0731143786372661,0.0818853736115661
"165","TUR",0.0814009475739269,0.0949190878434769,0.104660623822358
"166","TZA",0.0509166539365828,0.069168499197665,0.0821526548446053
"167","UGA",0.174965245090082,0.202233445523084,0.217663845578317
"168","UKR",0.0959981566218316,0.113688612826644,0.129661909182284
"169","URY",0.14955973934073,0.202499661209519,0.249444308338097
"170","USA",0.112174798582798,0.122822172189244,0.133629861123452
"171","UZB",0.0383536646322585,0.0534377615257025,0.066264244967506
"172","VCT",0.0535740650749384,0.0741208240880302,0.135851163840019
"173","VEN",0.0351460622963187,0.0453971241385533,0.0639205014360667
"174","VNM",0.0975496561879809,0.118967680377927,0.145865727200046
"175","VUT",0.000133487894898734,0.000836437432563133,0.0443125256567257
"176","YEM",0.233895961406529,0.273189999210444,0.307445117553158
"177","ZAF",0.062657795727111,0.0772877764291256,0.0935828248237899
"178","ZMB",0.0709895104751427,0.0835750417967029,0.092971299857417
"179","ZWE",0.0461049871273197,0.0527644077377928,0.0599879559227293
