"","income_group","replicate.x","averted_total_costs","replicate.y","mean_hccosts_percentGDP"
"417","H",5,448788860883.049,17,1.1491312504824
"418","H",5,448788860883.049,18,1.13466541550123
"419","H",5,448788860883.049,19,1.13367867077898
"420","H",5,448788860883.049,20,1.14743395775288
"421","H",5,448788860883.049,21,1.15000525529999
"422","H",5,448788860883.049,22,1.14314287158948
"423","H",5,448788860883.049,23,1.1382246158211
"424","H",5,448788860883.049,24,1.1266040770487
"425","H",5,448788860883.049,25,1.15801093870192
"426","H",5,448788860883.049,26,1.13201165656173
"427","H",5,448788860883.049,27,1.13652845289033
"428","H",5,448788860883.049,28,1.1357080724342
"429","H",5,448788860883.049,29,1.16418628358109
"430","H",5,448788860883.049,30,1.15813261156572
"431","H",5,448788860883.049,31,1.16694553384085
"432","H",5,448788860883.049,32,1.1538939239543
"433","H",5,448788860883.049,33,1.16195199644542
"434","H",5,448788860883.049,34,1.16579244268113
"435","H",5,448788860883.049,35,1.14190138647595
"436","H",5,448788860883.049,36,1.13247235925236
"437","H",5,448788860883.049,37,1.16212074371921
"438","H",5,448788860883.049,38,1.14420250927516
"439","H",5,448788860883.049,39,1.13150732367716
"440","H",5,448788860883.049,40,1.14514287776295
"441","H",5,448788860883.049,41,1.16763287497046
"442","H",5,448788860883.049,42,1.13622289649748
"443","H",5,448788860883.049,43,1.15792206232068
"444","H",5,448788860883.049,44,1.16421971565512
"445","H",5,448788860883.049,45,1.16782671088664
"446","H",5,448788860883.049,46,1.1691413231907
"447","H",5,448788860883.049,47,1.16077493197462
"448","H",5,448788860883.049,48,1.12828269156696
"449","H",5,448788860883.049,49,1.17013254143185
"450","H",5,448788860883.049,50,1.1388607465342
"451","H",5,448788860883.049,51,1.14572007308314
"452","H",5,448788860883.049,52,1.15076927329966
"453","H",5,448788860883.049,53,1.15983876004235
"454","H",5,448788860883.049,54,1.15996278816857
"455","H",5,448788860883.049,55,1.15543757705245
"456","H",5,448788860883.049,56,1.148549294669
"457","H",5,448788860883.049,57,1.15358337964988
"458","H",5,448788860883.049,58,1.14798210296291
"459","H",5,448788860883.049,59,1.16617311818995
"460","H",5,448788860883.049,60,1.13455420498083
"461","H",5,448788860883.049,61,1.15357868378602
"462","H",5,448788860883.049,62,1.16165221543794
"463","H",5,448788860883.049,63,1.12982884626231
"464","H",5,448788860883.049,64,1.14303107575358
"465","H",5,448788860883.049,65,1.12332572326828
"466","H",5,448788860883.049,66,1.15879834138843
"467","H",5,448788860883.049,67,1.13846208105066
