"","iso3c","discmonqalys_pgdp_low","discmonqalys_pgdp_med","discmonqalys_pgdp_high"
"89","KOR",7.54299023915647,8.65193358354093,9.84601188767238
"90","KWT",2.46355476836982,2.76210358220496,3.18062148493634
"91","LAO",1.27502147361582,1.34769442088025,1.43018330126411
"92","LBN",1.71912101044968,2.02407189321202,2.3072212789549
"93","LBR",0.0772413884676949,0.088218360559755,0.0999482120583177
"94","LBY",0.80329011262192,0.92594258934146,1.05802531483468
"95","LCA",1.58089447455033,1.7553875181187,2.00928959835724
"96","LKA",2.06616032680023,2.20217739197771,2.44374817731835
"97","LSO",0.223099869402312,0.25961924459717,0.297441633195051
"98","LTU",6.59623576690825,7.25690363539104,7.51846289880101
"99","LUX",5.28088879551741,6.20526785132605,8.32483296630212
"100","LVA",5.26037753401294,6.14749607669277,6.57741891314939
"101","MAR",1.49285128212699,1.71786780787615,1.97437834663725
"102","MDA",2.19344441037458,2.50545583965367,2.70812615232817
"103","MDG",0.0328498668290788,0.0417677145297595,0.0480581263532705
"104","MDV",3.35538142162663,3.70582829717136,4.32054925073687
"105","MEX",1.84091464195204,2.18404158676856,2.45021595054992
"106","MKD",2.55000362576715,3.04022202776426,3.51211739698718
"107","MLI",0.0333187154401816,0.0465946391270448,0.0564291475138395
"108","MLT",6.43168479663464,7.31484056517252,8.54710470442218
"109","MMR",0.472594922704163,0.564136738209549,0.674586652794536
"110","MNE",2.41521284131653,2.84699010652221,3.46263370430834
"111","MNG",1.58741666583595,1.70083499666042,1.84258036547751
"112","MOZ",0.0883132066887489,0.111243260248318,0.140816863516003
"113","MRT",0.360842405313444,0.472722161424068,0.562594668652604
"114","MUS",3.09143712418113,3.47354776931018,3.84113653104907
"115","MWI",0.122362597807769,0.130967756120292,0.137705596240341
"116","MYS",3.59754944899051,4.06413190455567,4.85401341127099
"117","NAM",0.269830516459021,0.360537851302213,0.423290601976897
"118","NER",0.0881245865379535,0.110498487164692,0.160574936251032
"119","NGA",0.141267301315124,0.153935139673614,0.162639050036903
"120","NIC",0.213495419837421,0.25800894842405,0.30257789474923
"121","NLD",5.31236594995884,5.92295107387437,6.75550900674371
"122","NOR",6.19470431309754,6.86610381688622,7.39770274939591
"123","NPL",0.619657154598659,0.701016756643242,0.91750988639458
"124","NZL",5.09713404170805,7.28978194516792,9.19024106340021
"125","OMN",0.777802595222956,1.06964171097846,2.04234525709332
"126","PAK",0.448992139650482,0.516681796626385,0.6263772997052
"127","PAN",2.1689314868121,2.70617197385331,3.35241659405839
"128","PER",0.920913465245093,1.28459668532313,1.72887402686695
"129","PHL",1.04023598703731,1.24003016516488,1.51851800587047
"130","PNG",0.0461472018640632,0.0590680245473356,0.0740670241672906
"131","POL",3.7765741663042,4.16131681021858,4.46864000662457
"132","PRK",NA,NA,NA
"133","PRT",10.8490223523932,11.5910060663364,15.4591716683102
"134","PRY",0.462138870937429,0.568270323957256,0.63179264942919
"135","QAT",2.88941158903187,3.9320931630864,5.01036553598702
"136","ROU",2.31023001397699,2.72549046289756,3.06712844907611
"137","RUS",3.2692128025927,3.50877787399812,3.76538362820597
"138","RWA",0.348887216221504,0.40223105951045,0.460163740538572
"139","SAU",3.25987176834696,3.64401891007076,4.12480816550881
"140","SDN",0.0454081152149204,0.061291990500125,0.0781241443386296
"141","SEN",0.19171249152804,0.21925233205066,0.244305023846208
"142","SGP",16.7001766352351,19.9923421873003,20.8617129904585
"143","SLB",0.0122980658571381,0.161994702051596,0.661110718842858
"144","SLE",0.0596747380175756,0.0874782523265984,0.106093609720209
"145","SLV",1.469275878102,1.71928423808323,1.82572453742795
"146","SOM",0.0454628204315578,0.0520726970639742,0.0587225151291123
"147","SRB",3.77387893760017,4.45435297893164,5.18349075242136
"148","SSD",NA,NA,NA
"149","STP",0.721978112395238,0.858315936941359,1.19489534130958
"150","SUR",2.10945730566678,2.41490944152118,2.56153543233896
"151","SVK",3.46539908405764,4.08711147631085,4.40547064887825
"152","SVN",4.49342036875169,5.00922575280332,5.60619196883869
"153","SWE",3.49765921195232,3.94280107220691,4.52303368350252
"154","SWZ",0.315832307291535,0.37941113656835,0.442924132243136
"155","SYC",3.25143836582685,4.15894354536319,5.47626019083703
"156","SYR",0.0341647488811306,0.0436934588903947,0.0546438874524187
"157","TCD",0.00921642468403775,0.0126360949318738,0.0154906055258519
"158","TGO",0.170904151942491,0.184384826481486,0.20161090603322
"159","THA",3.68611962305501,4.53150857047014,5.28003847046987
"160","TJK",0.3051303726933,0.433896544045408,0.549458770104288
"161","TKM",0.992348403321153,1.43241226279026,1.72947297358927
"162","TLS",1.00049530391546,1.09191769696561,1.14709012353773
"163","TTO",2.99314377270788,3.54260058446981,4.30315986625919
"164","TUN",1.00674227406049,1.16306867228761,1.30709795141454
"165","TUR",2.94228869347491,3.42414549629154,3.77313375659786
"166","TZA",0.0335674921068642,0.0454330734179202,0.0543811861666656
