"","iso3c","hccosts_pgdp_low","hccosts_pgdp_med","hccosts_pgdp_high"
"69","HTI",0.00149008125863486,0.00181485424610645,0.00225806906829009
"70","HUN",0.367089197325002,0.395659107387329,0.493021014816429
"71","IDN",0.0809243794210833,0.0943233938539376,0.107586358257269
"72","IND",0.167513164568169,0.190809608331585,0.197873072217007
"73","IRL",0.199841585553494,0.209522268528178,0.218454697329251
"74","IRQ",0.0285090464799608,0.0334133212497548,0.041050508139898
"75","ISL",0.217783390322908,0.293663644483114,0.31864402964705
"76","ISR",0.133930944149555,0.145623701962099,0.154694662923578
"77","ITA",0.453283873664682,0.523607752170687,0.583325060348425
"78","JAM",0.051879199449756,0.0594344444590639,0.0660447882002457
"79","JOR",0.130326697779304,0.144235396894953,0.155763679083336
"80","JPN",0.149890118735748,0.179861873093131,0.209161308868934
"81","KAZ",0.152946349333164,0.168242849037638,0.186640919603536
"82","KEN",0.0294692343299356,0.0342811730305899,0.0369565520278085
"83","KGZ",0.0503405226923934,0.0598248314005763,0.0708996187197102
"84","KHM",0.2415278146218,0.258328979476699,0.274970224229519
"85","KOR",0.420740328840585,0.466590686854447,0.521938867706067
"86","KWT",0.164381767149138,0.182500060218014,0.211766869032575
"87","LAO",0.139615137911546,0.147524227437726,0.1561546263908
"88","LBN",0.228976233853238,0.260076805230592,0.295966400814947
"89","LBR",0.0428539744802005,0.0493698464775849,0.056323351114315
"90","LBY",0.0875624468926505,0.0934862854754402,0.104207629085845
"91","LCA",0.0882628405125733,0.0972068924835862,0.111011137589515
"92","LKA",0.36858467584224,0.398486668819148,0.438888691277384
"93","LSO",0.0736503669797786,0.0851260316628701,0.0950957415022945
"94","LTU",0.367840570195586,0.405219638084319,0.41937792597052
"95","LUX",0.252328705337036,0.297205940019463,0.338462281633357
"96","LVA",0.34853899970258,0.400332039108309,0.429597622026393
"97","MAR",0.0950832879949721,0.106153354514057,0.117781599381776
"98","MDA",0.0911893868678669,0.104453574566743,0.114907657109807
"99","MDG",0.0322710108651812,0.0377464501427021,0.0429921015344265
"100","MDV",0.156873604230463,0.170360195957537,0.187405523342882
"101","MEX",0.101220819132407,0.118546475242502,0.12929002630524
"102","MKD",0.222394804664565,0.253659153144562,0.295052777855054
"103","MLI",0.0192619959349239,0.0229660073083742,0.0276070636469494
"104","MLT",0.326381200611831,0.385563867908498,0.422051644909843
"105","MMR",0.103104736529854,0.118920293840378,0.140094485802321
"106","MNE",0.174621856386694,0.206959794162288,0.253134729934185
"107","MNG",0.112589625716057,0.121652443844129,0.132218547072978
"108","MOZ",0.0685235947124249,0.0856457942538656,0.106572535163704
"109","MRT",0.0422214443094297,0.0544993210784876,0.0639202121290004
"110","MUS",0.249675526118601,0.281714083697389,0.314049196256785
"111","MWI",0.0675815207321255,0.0729398050224053,0.077306831926843
"112","MYS",0.227572595190567,0.258972071372725,0.286372127233114
"113","NAM",0.0388184654893167,0.0502377541835861,0.0580952207628167
"114","NER",0.0340198292488519,0.0424757753353023,0.0519983056819078
"115","NGA",0.019263708447978,0.0211385065845907,0.0224456829401106
"116","NIC",0.0288435305753759,0.035088376462648,0.0406759105151217
"117","NLD",0.315604074226733,0.337566371482652,0.368544540223107
"118","NOR",0.309447607042311,0.339645579598259,0.36946306912167
"119","NPL",0.150861565660557,0.169475829790716,0.20847962028959
"120","NZL",0.110262686298278,0.125386598465302,0.166248614474534
"121","OMN",0.0842509752310612,0.11794582533322,0.200355872704155
"122","PAK",0.0692963624841046,0.0839914292789982,0.0996665457522205
"123","PER",0.0835087349967884,0.110542664820882,0.142429480876109
"124","PHL",0.0580656510988184,0.0799670015689019,0.097321340386858
"125","PNG",0.00730970531399345,0.00859752761236651,0.0102813115507068
"126","POL",0.316822141254495,0.348708564523509,0.371435471944417
"127","PRT",0.597586850047533,0.75710599721048,0.873286021909112
"128","PRY",0.0388135024049076,0.0485459385892591,0.053324194133882
"129","QAT",0.22856619709158,0.295489250240094,0.333448734949683
"130","ROU",0.171290114568502,0.202772667979784,0.223378065106521
"131","RUS",0.244073022050169,0.263229206121932,0.285029983669225
"132","RWA",0.15341236766086,0.175116910215302,0.199079306223222
"133","SAU",0.164003889891379,0.187214856239649,0.212131406574222
"134","SDN",0.0318739406158902,0.0425583875466278,0.0555497544650252
"135","SEN",0.0404029041947248,0.0445387544287138,0.0503086918139841
"136","SGP",0.355395520656367,0.432965602282057,0.573915124268202
"137","SLB",NA,NA,NA
"138","SLE",0.0529080540708225,0.0649994368944554,0.0742680948629653
"139","SLV",0.103751296511967,0.121278165763023,0.128818610849168
"140","SRB",0.275941353533438,0.317263118040258,0.368688524580618
"141","SSD",Inf,Inf,Inf
"142","STP",0.0741384474986072,0.0873937980195384,0.0972587535759096
"143","SUR",0.0765740663091379,0.0874799114828714,0.0924803655093792
"144","SVK",0.282940959259254,0.327927669421929,0.353658352578357
"145","SVN",0.267235580120995,0.301330834548901,0.34122828576588
"146","SWE",0.173109521299101,0.190133265305025,0.206933065947276
"147","SWZ",0.0386498836381295,0.0444095511030307,0.0505543177244003
"148","SYC",0.363539587155473,0.4908321057223,0.652580533284205
"149","SYR",0.0442626890137962,0.0536108835544967,0.0664133156691022
"150","TCD",0.00723425778682105,0.0102494572197443,0.0126144120226509
"151","TGO",0.13011095445262,0.14071068482492,0.151638421347931
"152","THA",0.100983585965637,0.119262582051375,0.136488122988769
"153","TJK",0.145278824929196,0.185813209393941,0.223929658419766
"154","TKM",NA,NA,NA
"155","TLS",0.0848439019599607,0.0935888163485717,0.0971629452343175
"156","TTO",0.282776933025428,0.325514178204222,0.39697739970616
"157","TUN",0.35116262444967,0.401492134687303,0.446128151259007
"158","TUR",0.167199829150276,0.192126480961503,0.213365037479093
"159","TZA",0.0372210315490845,0.0461834634989329,0.0545240317176754
"160","UGA",0.065010946178154,0.0772065646001272,0.0821129348144644
"161","UKR",0.0688344988486618,0.083028112539709,0.0964009434967605
"162","URY",0.131183527866817,0.146683717041105,0.171552859006357
"163","USA",0.272335290249764,0.299723864676675,0.335550819537234
"164","UZB",0.508660806060771,0.660049100074072,0.792134377220124
"165","VCT",0.041277486567243,0.058648713834104,0.0785748072865883
"166","VNM",0.146329075166014,0.163130515948609,0.172567365437919
"167","VUT",0.000168456134061411,0.00146242114629773,0.0374786257022259
"168","YEM",Inf,Inf,Inf
"169","ZAF",0.0754322776249155,0.0872951669776969,0.0982506924759748
"170","ZMB",0.0284017740413242,0.0328070607955459,0.0360575009474121
"171","ZWE",0.0520933678413492,0.0600747047340675,0.0679423619350095
