"","iso3c","friction_pp_gdppc_low","friction_pp_gdppc_med","friction_pp_gdppc_high"
"112","MOZ",0.504871561199921,0.668621469505787,0.907610328458176
"113","MRT",1.1584352679808,1.47303842343288,1.73787880059282
"114","MUS",0.762077094806708,0.88355551245756,1.02708868203345
"115","MWI",1.84380172246261,2.14051159044662,2.42644836103394
"116","MYS",0.962402658052544,1.01276689545422,1.06893315152281
"117","NAM",0.479702397973363,0.57311071273183,0.664574818832002
"118","NER",2.41836076689419,2.78247819780003,3.20405592980465
"119","NGA",3.24352347234921,3.51684880393231,3.865750113055
"120","NIC",0.21717990653989,0.27340188096904,0.334675036896056
"121","NLD",1.03135644250924,1.09264907556859,1.18270265067852
"122","NOR",1.1850911708471,1.29105132334431,1.40372770855765
"123","NPL",0.794342143002893,0.894756939951343,1.08196164653758
"124","NZL",1.45409957904271,1.66826484286024,1.80139004921844
"125","OMN",0.355884729409399,0.765285682328537,1.7951100789249
"126","PAK",0.742974986735103,0.905594204916453,1.10326995908962
"127","PAN",1.00119093452156,1.21389108203499,1.43879210223892
"128","PER",0.400750570811785,0.581504006845481,0.755160696263582
"129","PHL",0.831572343426747,0.882773350996506,0.95583192475692
"130","PNG",0.940079084638031,1.14018923519482,1.42168730952694
"131","POL",0.866944721586361,0.94540266908901,1.01348181663902
"132","PRK",NA,NA,NA
"133","PRT",1.32258166411763,1.42352069358593,1.55130930796827
"134","PRY",0.174346378091832,0.206174412324718,0.232535905918586
"135","QAT",1.04496777847684,1.43842201899273,1.85180169415511
"136","ROU",0.789754693905999,0.931831676876732,1.05072078683019
"137","RUS",0.849345246972115,0.909737999943116,0.997691495814408
"138","RWA",0.752306360324608,0.891095940580398,1.09177733407256
"139","SAU",0.995574249160441,1.2107576817856,1.41564362007453
"140","SDN",0.501078530563091,0.655134675799832,0.769755005032094
"141","SEN",1.74516401375,1.97688017465572,2.37863884600778
"142","SGP",1.96985653125548,2.13592946704432,2.1733100322966
"143","SLB",NA,NA,NA
"144","SLE",2.05413796993095,2.60541614598896,3.17662014196981
"145","SLV",0.758325876204156,0.845050349847086,0.911028832479609
"146","SOM",0.807691033619032,0.954230051540868,1.15744078918839
"147","SRB",1.16405182139016,1.40527832483301,1.61853539715743
