"","iso3c","hosp_pp_low","hosp_pp_med","hosp_pp_high"
"163","TTO",0.018350330546115,0.0211236917509015,0.025761176578325
"164","TUN",0.0134144537246625,0.015337046959423,0.0170421480637696
"165","TUR",0.0156775593556733,0.0180148169072793,0.0200062587175102
"166","TZA",0.0141975086380247,0.0176161190238728,0.0207975270720477
"167","UGA",0.0368901691317569,0.0438105179760895,0.0465946156960937
"168","UKR",0.0239015534076846,0.0288300328962979,0.0334735102031443
"169","URY",0.0106103587627302,0.0118640418333391,0.0138755025911294
"170","USA",0.0269450043679403,0.0296548450826268,0.0331995838284662
"171","UZB",0.00873726203669012,0.0113376573852629,0.013606484988772
"172","VCT",0.0112194252944379,0.0159410109044472,0.0213570217978418
"173","VEN",0.00888823790716864,0.0102342413943685,0.0132633330955442
"174","VNM",0.018148846555613,0.0202326892255033,0.0214031191838394
"175","VUT",6.70935199616701e-05,0.000582460133720782,0.014927167453407
"176","YEM",0.0568222989708484,0.0672371215556226,0.0760280338139122
"177","ZAF",0.0157005862748419,0.018169745680029,0.0204500450251879
"178","ZMB",0.0184262436377202,0.0212842653552793,0.0233930562385872
"179","ZWE",0.0107301787712334,0.0123741725316892,0.0139947505779003
