"","iso3c","inf_pp_low","inf_pp_med","inf_pp_high"
"91","LAO",0.79672600937545,0.84251726007761,0.904411897651949
"92","LBN",0.682858551806905,0.804175839080752,0.948819237006203
"93","LBR",0.31532217392363,0.367229816530912,0.487458128961995
"94","LBY",0.949097023495023,1.0483928397927,1.13225445780047
"95","LCA",0.437041610078604,0.479920084634558,0.567128551634547
"96","LKA",0.635983532982093,0.691147377502097,0.792020525641061
"97","LSO",0.263531192122314,0.31984744115725,0.383215683491378
"98","LTU",0.549723168170454,0.605599536128645,0.633093156118202
"99","LUX",0.765514796564315,0.828392661644909,0.923706049349016
"100","LVA",0.44067044193001,0.501194347773588,0.539336012491261
"101","MAR",0.49733659341795,0.522033639524686,0.556282239501952
"102","MDA",0.462367129913684,0.508102725194194,0.552448814207343
"103","MDG",0.733629963230393,0.887886435079808,1.01483211079091
"104","MDV",0.814431759645117,0.883331427040941,0.988313015189581
"105","MEX",0.335971641572823,0.362843624381026,0.388611942615557
"106","MKD",0.350525715093541,0.403384586974802,0.461183146560214
"107","MLI",1.3030002351063,1.62745002525132,1.95524188936552
"108","MLT",0.705051000930032,0.764559274045739,0.875277491880641
"109","MMR",0.350082291015878,0.462820609502665,0.606816910626008
"110","MNE",0.354126006613268,0.405928949661741,0.493654831097374
"111","MNG",0.608825424154907,0.671414307349806,0.749498265904582
"112","MOZ",0.313557182779843,0.420103876517877,0.580519866729995
"113","MRT",0.724490766886189,0.927985069406618,1.10406021992798
"114","MUS",0.409763613041671,0.488038023595898,0.579928384998878
"115","MWI",1.06259401991287,1.2943897284138,1.51654230152005
"116","MYS",0.592202169767994,0.627288561857649,0.660359496679143
"117","NAM",0.262612564015815,0.312795867572148,0.383121746434854
"118","NER",1.47824606312952,1.70205894153936,1.93747171480467
"119","NGA",2.05635919173297,2.23688376649781,2.48239833578692
"120","NIC",0.127547763669388,0.160407789162839,0.202392471867061
"121","NLD",0.585966186117141,0.621644042461781,0.676997068158596
"122","NOR",0.691221491414342,0.754170449262049,0.818627956034848
"123","NPL",0.469480698347657,0.530991178032155,0.623118754218556
"124","NZL",1.02068734233417,1.15183719884098,1.22992666707356
"125","OMN",0.200044575614728,0.458702178086408,1.1006262271115
"126","PAK",0.474052712324742,0.595522198604063,0.736263512276826
"127","PAN",0.62248118198304,0.75208315508807,0.896815011479573
"128","PER",0.23773012567422,0.354639746049286,0.462378152339537
"129","PHL",0.431440338455487,0.482665909585099,0.538217602543717
"130","PNG",0.624686550955836,0.755368045804526,0.944646386297243
"131","POL",0.452775607171975,0.498515695786344,0.539148181723122
"132","PRK",NA,NA,NA
"133","PRT",0.725745535337802,0.782228327668719,0.85241818011673
"134","PRY",0.076170560681443,0.0911815917246372,0.104659791772523
"135","QAT",0.610906488083795,0.841888098308075,1.09635761756871
"136","ROU",0.311327680910336,0.363195329726043,0.418642183728065
"137","RUS",0.315103331254831,0.337061903830559,0.37791340377959
"138","RWA",0.483110093314964,0.576933295160468,0.718310372988664
"139","SAU",0.56519414254444,0.69545606564609,0.818355801533216
"140","SDN",0.177494081257859,0.243072026607646,0.292650802131912
"141","SEN",1.0799356956944,1.238996743743,1.54619909417004
"142","SGP",1.03412000576147,1.12600774996428,1.14556470649224
"143","SLB",NA,NA,NA
"144","SLE",0.783387173788494,0.987390280366025,1.21952707354106
"145","SLV",0.430147794442639,0.471562038097967,0.509611226953622
"146","SOM",0.543614660870098,0.650252866870456,0.816946386893152
"147","SRB",0.386628783562326,0.485204877461571,0.55775328862315
"148","SSD",0.44920495436075,0.58178689442542,0.714302599849858
"149","STP",1.1208336394034,1.33066457738142,1.59420566249645
"150","SUR",0.395623607106251,0.429265290462262,0.461115551804614
"151","SVK",0.395877335858319,0.462521180604642,0.505131358954809
"152","SVN",0.506548191857106,0.584171547897703,0.664392847777262
"153","SWE",0.442966129945849,0.489165868795969,0.539862735287651
"154","SWZ",0.290026906453359,0.334900289513384,0.394988142519306
"155","SYC",0.544857641713777,0.682085159137727,0.901399922339678
"156","SYR",0.340579839263932,0.412583010485131,0.495667485114779
"157","TCD",0.952210928788239,1.28407177880537,1.7492255014737
"158","TGO",0.837813905519399,0.938471835807707,1.06422429322347
"159","THA",0.637920718254672,0.745710387424269,0.833272143707237
"160","TJK",0.568978538574191,0.761608224004757,1.03295945159657
"161","TKM",NA,NA,NA
"162","TLS",0.517434956751785,0.580349663941339,0.640369266457588
"163","TTO",0.5134190716062,0.557989972098089,0.633235330292819
"164","TUN",0.364158637861062,0.438639171220242,0.556685166939158
"165","TUR",0.439000791479876,0.487739352379405,0.528120004643947
"166","TZA",0.505520536056919,0.661173901999326,0.858299204380519
"167","UGA",1.7557087739165,1.99856235385933,2.34209230564158
"168","UKR",0.31978761513822,0.370664945743237,0.437192985610839
"169","URY",0.693950762498486,0.809108288270445,0.889834896290972
"170","USA",0.66612246864712,0.750931329061527,0.857234142227538
"171","UZB",0.36603157065745,0.450752850251597,0.553070309022686
"172","VCT",0.347625986796495,0.410360580435628,0.506001486798403
"173","VEN",0.327101902971895,0.386443863915675,0.498834317010227
"174","VNM",0.723027959920694,0.807732947755307,0.894620289174494
"175","VUT",0.00155224453153661,0.0230414972142212,2.35636091373875
"176","YEM",2.30802182504296,2.5477608611568,2.83476259923907
"177","ZAF",0.362611541678557,0.505914367510813,0.685842922050834
"178","ZMB",0.461935453179011,0.600231235851982,0.71513389165702
"179","ZWE",0.515369698164342,0.62929509523824,0.757509545236533
