"","iso3c","averted_inf_qalys_low","averted_inf_qalys_med","averted_inf_qalys_high"
"91","LAO",1.93950527421371,14.5208240690866,30.8745023651635
"92","LBN",2.24286397395011,8.81219050307303,12.8349824149227
"93","LBR",0.222806619716274,1.03297346405726,2.72853446712298
"94","LBY",1.20341281900642,4.02650735708307,6.8949442867878
"95","LCA",0.0270692724853202,0.147522085804527,0.198068334752236
"96","LKA",15.1450794463024,60.3366594627323,73.7084160802615
"97","LSO",0.267522504997347,1.07814735104604,2.11782632379376
"98","LTU",0.424333352796555,6.41746208263921,12.6387377449305
"99","LUX",0.522639362258408,2.13455038896405,3.25189397131671
"100","LVA",0.270579193810404,3.68449288471178,7.22527666622373
"101","MAR",16.1974751907272,73.3897684693555,106.307274781682
"102","MDA",0.504562535939738,3.02381656911241,4.90067709767165
"103","MDG",0.975409197739395,2.15790041566065,5.95340588551035
"104","MDV",0.282650681426021,1.30042125577773,5.25754560063188
"105","MEX",36.2725119220837,136.361121947372,229.618976539664
"106","MKD",0.0916722955681304,1.47042446812661,4.20064088274362
"107","MLI",0.541551935486411,2.20391105351522,7.68012765712118
"108","MLT",0.72090866586007,1.72744740065256,2.49886232410177
"109","MMR",11.0109084342479,35.1279707771144,56.4076025049065
"110","MNE",0.0647252437815594,0.538672069846314,1.36208124685229
"111","MNG",1.05031569080692,8.48941667647166,16.3163787103564
"112","MOZ",1.86676722494091,8.03701867097357,23.2185607764242
"113","MRT",0.503475520068864,3.69490499068709,6.63055157339438
"114","MUS",0.789409280687159,2.69309482646709,3.84177514989267
"115","MWI",1.1737814307207,3.99245468574466,9.20124298150475
"116","MYS",21.2362074871384,86.8601339913207,162.390615266255
"117","NAM",0.203369359179425,0.518468874784153,0.996559664276589
"118","NER",0.951634266099303,3.61110332500172,13.6402020515976
"119","NGA",8.06228470633155,37.665196907184,103.096511545094
"120","NIC",0.729144183551394,2.35020534947132,4.10687028692086
"121","NLD",2.70117500775632,53.5423831765802,67.5278877395484
"122","NOR",2.16953705421459,19.5641309690998,26.2054455935579
"123","NPL",6.2778554967393,27.8589615369563,43.8320869443843
"124","NZL",8.3022981135061,25.0449108227575,28.967711832162
"125","OMN",0.854794392691215,5.60388304671976,32.9197836737846
"126","PAK",39.0943469623804,191.964630232385,326.706834404253
"127","PAN",2.52013522890602,10.481777312198,18.7540479684346
"128","PER",10.6608153903788,38.394976560104,72.0706983039071
"129","PHL",30.4225761716329,115.737187242225,165.437280619111
"130","PNG",0.25911221712177,0.91141144917028,1.89463434012279
"131","POL",2.03909585126141,60.2410145469696,118.531203005624
"132","PRK",0,0,0
"133","PRT",17.3191929456932,39.0355593882204,60.0055649916035
"134","PRY",0.875921510416176,1.31402515471651,2.08258853875755
"135","QAT",0.316908404229377,6.60536001773264,34.9729268853249
"136","ROU",0.350144219309496,14.5720418396254,36.1313763067917
"137","RUS",2.62586794121557,84.6948032671148,306.905469386544
"138","RWA",1.47544479012539,13.4723881361352,25.7769209671328
"139","SAU",8.64173588427927,72.4157327561588,204.402836419397
"140","SDN",0.48332451555893,1.4662855605776,4.05888757823495
"141","SEN",1.21294465153829,5.19927664694718,14.4594059943989
"142","SGP",9.15244239159374,36.5348094887328,45.8864080470861
"143","SLB",0.0149024621126487,0.342564991137356,3.32494523999938
"144","SLE",0.311951319962328,1.68122988594111,4.84965517966371
"145","SLV",3.85176365232873,11.7345392141337,20.1558953019084
"146","SOM",0.587046371867814,1.60212578486125,5.71190065203657
"147","SRB",0.554517279140058,9.42389426781621,22.3949066174515
"148","SSD",0.165622775277594,0.418075337933178,1.33485490418771
"149","STP",0.0380284670866053,0.357857262280835,0.803247574034111
"150","SUR",0.0398739613049731,0.489627594930107,1.12332461813153
"151","SVK",-0.212631775974589,5.74296699736465,15.1107417824561
"152","SVN",0.663000918239497,3.3454443230163,7.09209516173029
"153","SWE",3.6804750032606,21.0148355726388,33.8415627712718
"154","SWZ",0.157316500786959,0.472165665408932,1.09593232346194
"155","SYC",0.0752877516993138,0.337091067252325,0.506123306283857
"156","SYR",0.665887532149926,1.59955234510873,3.35099369500177
"157","TCD",0.140189689821736,0.389004176775019,1.42580130372246
"158","TGO",0.472783685224988,3.73485071478894,8.26267970900088
"159","THA",67.992914790005,192.550041535967,306.877957529115
"160","TJK",0.894569263909383,12.0120921432224,23.5024620458467
"161","TKM",1.06017905366836,12.829645066331,20.6363088280786
"162","TLS",0.243373744865764,1.60898522295489,3.29605026323003
"163","TTO",0.441883976639124,1.96356689516468,4.01595274118822
"164","TUN",5.02101240993336,13.3590984464953,20.4828041336545
"165","TUR",20.6729770514068,145.028000730942,238.926185703107
"166","TZA",1.29973911828677,3.23554042482747,9.39942890077629
"167","UGA",2.19882025742774,11.0065125297721,29.452729152432
"168","UKR",4.22683183297401,26.1611404180481,59.7929491631657
"169","URY",4.9746699516213,12.6715983430551,16.761714473005
"170","USA",244.757830836411,987.45435245353,1339.09825896088
"171","UZB",4.65503852025456,29.3747344225724,48.7276913608997
"172","VCT",0.0220451660179476,0.0577925894767446,0.0916468905916485
"173","VEN",6.34401761698673,26.3639278868147,38.1361832777281
"174","VNM",61.1829999497439,230.624007764909,433.931868267994
"175","VUT",0.000301999276199126,0.0056072651783723,0.75688909993318
"176","YEM",0.996244358799434,2.86934425673655,7.60947253739888
"177","ZAF",14.1926716796049,43.0485303423175,81.7971105556253
"178","ZMB",0.670762527546178,2.21503263690444,5.3503950335513
"179","ZWE",1.71811854135303,11.4798804465178,19.5842698735092
