"","iso3c","undiscqaly_pp_low","undiscqaly_pp_med","undiscqaly_pp_high"
"51","ESP",0.219131218029558,0.243516685963656,0.279782695875538
"52","EST",0.184095972496506,0.209448489959515,0.229736212135074
"53","ETH",0.30226085734828,0.36407409924268,0.41046083788636
"54","FIN",0.186212070496199,0.199432472900354,0.217713311467551
"55","FJI",0.106875746749089,0.124362278897305,0.146432979483494
"56","FRA",0.219619075171311,0.262159620865724,0.346840320019072
"57","FSM",NA,NA,NA
"58","GAB",0.113710305883611,0.132914391640245,0.147504344286601
"59","GBR",0.162442270091615,0.221127868604717,0.34662316323458
"60","GEO",0.176359244342418,0.189232489602614,0.218211622561162
"61","GHA",0.150243419409372,0.168029193939321,0.186768555726815
"62","GIN",0.128974103568005,0.147583518023343,0.171311887279485
"63","GMB",0.0889485741442422,0.0991763312087412,0.110055713165706
"64","GNB",0.525636798559506,0.616685453792021,0.740635386216709
"65","GNQ",0.0697338102623427,0.137848774520753,0.167711585697554
"66","GRC",0.228957659976525,0.24851040774867,0.265700390780922
"67","GRD",0.0146784083311509,0.0203112208265754,0.0935551954447494
"68","GTM",0.13624059593186,0.154979637077276,0.18544901188189
"69","GUY",0.139622597971744,0.156494824575042,0.167828686571152
"70","HND",0.0592502259267337,0.0759852551973147,0.0842867487826791
"71","HRV",0.18434267624245,0.214945265024462,0.235607474654355
"72","HTI",0.0345202837369543,0.0423472988818522,0.0509314617985524
"73","HUN",0.117877469152975,0.142435155463206,0.191176285309701
"74","IDN",0.0996989444552283,0.120544231455703,0.138031890551611
"75","IND",0.135138818413183,0.152300240509952,0.159584710681148
"76","IRL",0.188058446822047,0.199326201229123,0.207295483919668
"77","IRN",0.0702364780724447,0.0803495132948619,0.0975498742137085
"78","IRQ",0.0442191112692835,0.0572500850263762,0.0701674205504369
"79","ISL",0.198304740738327,0.307719796457047,0.38574456230876
"80","ISR",0.139949162813032,0.154860216878797,0.170426407772807
"81","ITA",0.195339347679862,0.213746124554659,0.232898742054828
"82","JAM",0.065398811251068,0.0810468310315033,0.0950581275104286
"83","JOR",0.127232563254487,0.14187016274038,0.152394644759534
"84","JPN",0.0548434845794501,0.0690400727668939,0.0842216454801503
"85","KAZ",0.111562120644498,0.122074477103657,0.136078843615968
"86","KEN",0.117270592021015,0.133905848839277,0.14780553563968
"87","KGZ",0.0534581340476537,0.0747776155157169,0.102737738227127
"88","KHM",0.0843799255559802,0.089139963839235,0.0942627237939659
"89","KOR",0.199256670687062,0.228145359101359,0.258685852050043
"90","KWT",0.0777152920095885,0.0872069413203,0.100197099540686
"91","LAO",0.118137955556659,0.124912704298102,0.132581582498206
"92","LBN",0.134726469007078,0.159194530736313,0.182301417233101
"93","LBR",0.0411322648255829,0.0468453460091219,0.0532406497342148
"94","LBY",0.195833371865954,0.226889744759179,0.259548422665698
"95","LCA",0.136671841559781,0.151821005146335,0.173685378547114
"96","LKA",0.131079169002925,0.139575326489955,0.154808069523191
"97","LSO",0.0291107836936895,0.0340797731518069,0.0391982277779606
"98","LTU",0.192805704893366,0.211817430534135,0.21949214697539
"99","LUX",0.170886672728731,0.201119354947185,0.272752605233133
"100","LVA",0.157219114668914,0.183307857327149,0.195459642890143
