"","iso3c","hccosts_pp_gdppc_low","hccosts_pp_gdppc_med","hccosts_pp_gdppc_high"
"97","MAR",0.155364849664987,0.17345319365042,0.192453593761071
"98","MDA",0.386395707067233,0.44259989223196,0.486896852160199
"99","MDG",1.65492363411186,1.93571539193344,2.20472315561162
"100","MDV",0.233442863438188,0.253512196365383,0.278877266879288
"101","MEX",0.201234232867608,0.235678877221673,0.257037825656542
"102","MKD",0.577648843284585,0.65885494323263,0.766370851571568
"103","MLI",1.20387474593274,1.43537545677338,1.72544147793434
"104","MLT",0.388549048347418,0.459004604652973,0.50244243441648
"105","MMR",0.444416967801093,0.512587473449903,0.603855542251382
"106","MNE",0.419764077852629,0.497499505197808,0.608496946957175
"107","MNG",0.174017968649238,0.188025415524156,0.204356332415731
"108","MOZ",0.515214997837781,0.643953340254629,0.801297256869958
"109","MRT",0.289187974722121,0.373283021085531,0.437809672116441
"110","MUS",0.355157220652348,0.400731271262288,0.446727163949908
"111","MWI",2.13190917136043,2.30094022152698,2.43870132261334
"112","MYS",0.292134268537314,0.332441683405295,0.367615054214524
"113","NAM",0.323487212410973,0.418647951529884,0.484126839690139
"114","NER",1.44765230846178,1.80747980150222,2.21269385880459
"115","NGA",1.05844551911967,1.16145640574674,1.23327928242366
"116","NIC",0.0773285002020802,0.0940707143770725,0.109050698431962
"117","NLD",0.447031266610104,0.478139336377693,0.522017762355676
"118","NOR",0.43645642742216,0.479048772352974,0.521104469847207
"119","NPL",0.504553731306212,0.566808795286674,0.69725625514913
"120","NZL",0.151876978372284,0.172708813313088,0.228992581920845
"121","OMN",0.15402372071492,0.215623081047935,0.366281302932642
"122","PAK",0.286348605306217,0.347072021814042,0.411845230381076
"123","PER",0.142263603060968,0.188317997991281,0.242639660777017
"124","PHL",0.163105761513535,0.22462640890141,0.273374551648478
"125","PNG",0.319201105414561,0.375437887002904,0.448965569899861
"126","POL",0.581325029824762,0.639832228483503,0.681532976044801
"127","PRT",0.673716854619541,0.853558057734476,0.984538919852438
"128","PRY",0.101872709724167,0.127417161651599,0.139958514787092
"129","QAT",0.301936852168533,0.390342470594576,0.440487100329833
"130","ROU",0.468005777509569,0.554023683004875,0.610322582258255
"131","RUS",0.598218191299433,0.645169622847872,0.698602901150061
"132","RWA",0.48548217614196,0.554167437390196,0.629997804503865
"133","SAU",0.255060481946157,0.291158407837712,0.32990887492103
"134","SDN",1.15905238603237,1.54757772896828,2.01999107145546
"135","SEN",0.744068217214085,0.820234888189941,0.926495245193077
"136","SGP",0.416641876502189,0.507579838548718,0.672819606410553
"137","SLB",NA,NA,NA
"138","SLE",1.17053216970846,1.43804063925786,1.64309944387091
"139","SLV",0.16494641734812,0.192811074345029,0.204799063353208
"140","SRB",0.601179419462828,0.69120505019664,0.803242972942523
"141","SSD",NA,NA,NA
"142","STP",0.343233553234292,0.404600916757122,0.450272007295878
"143","SUR",0.203114234241745,0.232042205524858,0.245306009308698
"144","SVK",0.596921854977328,0.691830526206601,0.746114667886828
"145","SVN",0.4780600717728,0.539053371286048,0.610426271495313
"146","SWE",0.244160114667279,0.268171037101587,0.291866101477117
"147","SWZ",0.160372961154064,0.184271996278136,0.209768953213279
"148","SYC",0.460176692601865,0.62130646293962,0.82605130795469
"149","SYR",1.06914707762793,1.29494887812794,1.60418636881889
"150","TCD",1.57266473626545,2.22814287385745,2.74226348318498
"151","TGO",1.44407274642198,1.56171681270721,1.68300134681388
"152","THA",0.163668696864889,0.193294298300446,0.221212516999626
"153","TJK",0.538069721959985,0.68819707182941,0.829369105258392
"154","TKM",NA,NA,NA
"155","TLS",0.23118229416883,0.25501039876995,0.264749169575797
"156","TTO",0.609433045313421,0.701539177164272,0.855554740746033
"157","TUN",0.792692154513929,0.906302787104522,1.00706128952372
"158","TUR",0.280066715494599,0.321819901108045,0.357395372661797
"159","TZA",2.07938723737902,2.58008175971692,3.04603529149025
"160","UGA",2.40781282141311,2.8595023925973,3.04121980794312
"161","UKR",0.245837495888078,0.296528973356103,0.344289083917002
"162","URY",0.171481735773617,0.191743420968765,0.224252103276284
"163","USA",0.446451295491416,0.491350597830615,0.550083310716777
"164","UZB",1.60968609512902,2.08876297491795,2.50675435829153
"165","VCT",0.191099474848347,0.271521823306037,0.363772255956427
"166","VNM",0.256717675729849,0.286193887629138,0.302749763926174
"167","VUT",0.00115380913740693,0.0100165831938201,0.256702915768671
"168","YEM",NA,NA,NA
"169","ZAF",0.29815129496014,0.345040185682597,0.388342658007805
"170","ZMB",0.681097698832714,0.786740067039469,0.864688272120195
"171","ZWE",0.26852251464613,0.309663426464266,0.35021836048974
