"","iso3c","undiscmonqalys_averted_sum_low","undiscmonqalys_averted_sum_med","undiscmonqalys_averted_sum_high"
"37","COM",16393442.0713369,19123050.4652428,21574733.3633481
"38","CPV",38775754.2173057,44073215.8065081,47953431.6799262
"39","CRI",4059308674.13009,4679794047.47649,5169250275.56184
"40","CUB",0,0,0
"41","CYP",2973890214.93655,3794501223.18283,4591641881.25934
"42","CZE",22322133718.3788,26659058463.7658,30207491698.516
"43","DEU",591958456182.836,635717748465.658,691404224315.561
"44","DJI",10843568.162949,13222450.9850357,15184007.0988477
"45","DNK",43942410542.979,47991732152.4181,52896800874.8109
"46","DOM",1891826989.78329,2364954530.07357,2943407727.83948
"47","DZA",505766511.870572,634737628.738113,836289502.061261
"48","ECU",3662582165.579,4432933069.42247,5707647777.58106
"49","EGY",3255131653.40998,3789944930.34571,4279458308.97061
"50","ERI",0,0,0
"51","ESP",225192253978.162,250141854452.557,287105234028.62
"52","EST",3667315592.57651,4169998185.04792,4573924869.27321
"53","ETH",130340009.035319,156507363.57364,176348447.492247
"54","FIN",36229974371.8093,38784367648.8035,42280213697.9863
"55","FJI",227204386.586804,263471817.856179,309612647.18951
"56","FRA",396479195692.013,472695017773.078,624018983000.27
"57","FSM",26.541204411631,4201.83829863121,916291.564785643
"58","GAB",117035469.151026,136330640.89974,151116673.229608
"59","GBR",316200172967.277,429366171333.077,672314961561.435
"60","GEO",708556715.349952,760243966.844131,876341158.634518
"61","GHA",233496071.830062,260630284.581605,290000942.97858
"62","GIN",40691550.5751279,46497974.1627628,53925811.632769
"63","GMB",5029310.1258502,5607209.97972867,6219516.67951481
"64","GNB",2800396.99280004,3287852.01349627,3956281.32277435
"65","GNQ",80410905.5028644,156142684.308575,188777990.751509
"66","GRC",27999303379.6972,30383617779.234,32467958994.6977
