"","iso3c","undiscmonqalys_pp_gdppc_low","undiscmonqalys_pp_gdppc_med","undiscmonqalys_pp_gdppc_high"
"90","KWT",5.28463985665202,5.9300720097804,6.81340276876665
"91","LAO",4.13482844448307,4.37194465043355,4.64035538743721
"92","LBN",7.81413520241053,9.23328278270616,10.5734821995199
"93","LBR",0.98717435581399,1.12428830421893,1.27777559362116
"94","LBY",11.3583355682253,13.1596051960324,15.0538085146105
"95","LCA",7.9269668104673,8.80561829848744,10.0737519557326
"96","LKA",4.58777091510236,4.88513642714844,5.41828243331168
"97","LSO",1.01887742927913,1.19279206031324,1.37193797222862
"98","LTU",13.1107879327489,14.4035852763212,14.9254659943265
"99","LUX",11.6202937455537,13.6761161364086,18.5471771558531
"100","LVA",10.6908997974862,12.4649342982461,13.2912557165298
"101","MAR",3.4337663872992,3.98920938348759,4.62239013312271
"102","MDA",8.03973294592812,9.13969984436507,9.82784000499503
