Country Name,iso3c,lifeexpectancy_2021
Uganda,UGA,62.705
Ukraine,UKR,69.64780488
Upper middle income,UMC,74.69315759
Uruguay,URY,75.436
United States,USA,76.32926829
Uzbekistan,UZB,70.862
St. Vincent and the Grenadines,VCT,69.629
"Venezuela, RB",VEN,70.554
British Virgin Islands,VGB,74.494
Virgin Islands (U.S.),VIR,80.06829268
Viet Nam,VNM,73.618
Vanuatu,VUT,70.449
World,WLD,71.32686542
Samoa,WSM,72.767
Kosovo,XKX,76.806
"Yemen, Rep.",YEM,63.753
South Africa,ZAF,62.341
Zambia,ZMB,61.223
Zimbabwe,ZWE,59.253
